bibkey,entry_type,year,title,venue,doi,url,verification_basis,status
Solomon1987,article,1987,Algorithms for the Vehicle Routing and Scheduling Problems with Time Window Constraints,Operations Research,10.1287/opre.35.2.254,,Publisher/DOI metadata; exact DOI retained,PASS
TothVigo2002,book,2002,The Vehicle Routing Problem,SIAM,10.1137/1.9780898718515,,Publisher/DOI metadata; exact DOI retained,PASS
Laporte2009,article,2009,Fifty Years of Vehicle Routing,Transportation Science,10.1287/trsc.1090.0301,,Publisher/DOI metadata; exact DOI retained,PASS
BraysyGendreau2005,article,2005,"Vehicle Routing Problem with Time Windows, Part I: Route Construction and Local Search Algorithms",Transportation Science,10.1287/trsc.1030.0056,,Publisher/DOI metadata; exact DOI retained,PASS
Ropke2006ALNS,article,2006,An Adaptive Large Neighborhood Search Heuristic for the Pickup and Delivery Problem with Time Windows,Transportation Science,10.1287/trsc.1050.0135,,Publisher/DOI metadata; exact DOI retained,PASS
Christiaens2020SurveyVRPTW,article,2020,A Fresh Perspective on the Vehicle Routing Problem with Time Windows,Algorithms,10.3390/a13110288,,Publisher/DOI metadata; exact DOI retained,PASS
ortools2023,misc,2026,{OR-Tools: Vehicle Routing,,,https://developers.google.com/optimization/routing,Official/stable proceedings or documentation URL; no DOI invented,PASS
Ritzinger2016,article,2016,A Survey on Dynamic and Stochastic Vehicle Routing Problems,International Journal of Production Research,10.1080/00207543.2015.1043403,,Publisher/DOI metadata; exact DOI retained,PASS
ZhangVanWoensel2023,article,2023,Dynamic Vehicle Routing with Random Requests: A Literature Review,International Journal of Production Economics,10.1016/j.ijpe.2022.108751,,Publisher/DOI metadata; exact DOI retained,PASS
Mardesic2024,article,2024,Review of Stochastic Dynamic Vehicle Routing in the Evolving Urban Logistics Environment,Mathematics,10.3390/math12010028,,Publisher/DOI metadata; exact DOI retained,PASS
Adamo2024,article,2024,A Review of Recent Advances in Time-Dependent Vehicle Routing,European Journal of Operational Research,10.1016/j.ejor.2024.06.016,,Publisher/DOI metadata; exact DOI retained,PASS
RockafellarUryasev2000,article,2000,Optimization of Conditional Value-at-Risk,The Journal of Risk,10.21314/JOR.2000.038,,Publisher/DOI metadata; exact DOI retained,PASS
ZhangEtAl2021DRODeadlines,article,2021,A Vehicle Routing Problem with Distribution Uncertainty in Deadlines,European Journal of Operational Research,10.1016/j.ejor.2020.10.026,,Publisher/DOI metadata; exact DOI retained,PASS
Voigt2025ALNS,article,2025,A Review and Ranking of Operators in Adaptive Large Neighborhood Search for Vehicle Routing Problems,European Journal of Operational Research,10.1016/j.ejor.2024.05.033,,Publisher/DOI metadata; exact DOI retained,PASS
WangSunHuang2024,article,2024,An Adaptive Large Neighborhood Search for the Multi-Depot Dynamic Vehicle Routing Problem with Time Windows,Computers \& Industrial Engineering,10.1016/j.cie.2024.110122,,Publisher/DOI metadata; exact DOI retained,PASS
Bogyrbayeva2024MLVRP,article,2024,Machine Learning to Solve Vehicle Routing Problems: A Survey,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3334976,,Publisher/DOI metadata; exact DOI retained,PASS
ZhouEtAl2025LearningRouting,article,2025,Learning for Routing: A Guided Review of Recent Developments and Future Directions,Transportation Research Part E: Logistics and Transportation Review,10.1016/j.tre.2025.104278,,Publisher/DOI metadata; exact DOI retained,PASS
WangEtAl2025RLALNS,article,2025,Reinforcement Learning-Guided Adaptive Large Neighborhood Search for Vehicle Routing Problem with Time Windows,Journal of Combinatorial Optimization,10.1007/s10878-025-01364-6,,Publisher/DOI metadata; exact DOI retained,PASS
Nazari2018RL,inproceedings,2018,Reinforcement Learning for Solving the Vehicle Routing Problem,Advances in Neural Information Processing Systems,,https://proceedings.neurips.cc/paper/2018/hash/9fb4651c05b2ed70fba5afe0b039a550-Abstract.html,Official/stable proceedings or documentation URL; no DOI invented,PASS
Kool2019Attention,inproceedings,2019,"Attention, Learn to Solve Routing Problems!",International Conference on Learning Representations,,https://openreview.net/forum?id=ByxBFsRqYm,Official/stable proceedings or documentation URL; no DOI invented,PASS
hawkes1971,article,1971,Spectra of Some Self-Exciting and Mutually Exciting Point Processes,Biometrika,10.1093/biomet/58.1.83,,Publisher/DOI metadata; exact DOI retained,PASS
bacry2015hawkes,article,2015,Hawkes Processes in Finance,Market Microstructure and Liquidity,10.1142/S2382626615500057,,Publisher/DOI metadata; exact DOI retained,PASS
AlaimoDiLoroEtAl2025,article,2025,Semi-parametric Spatio-Temporal Hawkes Process for Modelling Road Accidents in Rome,"Journal of Agricultural, Biological and Environmental Statistics",10.1007/s13253-024-00615-z,,Publisher/DOI metadata; exact DOI retained,PASS
Darema2004DDDAS,inproceedings,2004,Dynamic Data Driven Applications Systems: A New Paradigm for Application Simulations and Measurements,Computational Science -- ICCS 2004,10.1007/978-3-540-24688-6_86,,Publisher/DOI metadata; exact DOI retained,PASS
Vrani2025DataInBrief,article,2025,Delivering Data: A Real-World Dataset for Last-Mile Delivery Optimization,Data in Brief,10.1016/j.dib.2025.111762,,Publisher/DOI metadata; exact DOI retained,PASS
