decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,2,10,1,0,475.1445356234361,475.1445356234361,
2,1,0,11,0,0,475.1445356234361,475.1445356234361,763.195794999813
3,2,1,9,0,0,475.1445356234361,475.1445356234361,498.78827634357344
4,3,2,10,0,1,471.17753641208606,471.17753641208606,471.17753641208606
5,4,1,11,0,0,471.17753641208606,471.17753641208606,498.0195564771335
6,5,2,10,0,1,462.68901183308776,462.68901183308776,462.68901183308776
7,6,1,10,0,1,455.14095936154047,455.14095936154047,455.14095936154047
8,7,2,8,0,1,462.68901183308776,455.14095936154047,462.68901183308776
9,8,0,9,0,0,462.68901183308776,455.14095936154047,602.5249283771647
10,9,1,9,0,0,462.68901183308776,455.14095936154047,562.0877272628666
11,10,1,9,0,0,462.68901183308776,455.14095936154047,503.0382957805808
12,11,0,11,0,1,451.31358506905497,451.31358506905497,451.31358506905497
13,12,1,9,0,0,451.31358506905497,451.31358506905497,506.3572004528844
14,13,2,10,0,1,451.013585069055,451.013585069055,451.013585069055
15,14,2,11,0,0,451.013585069055,451.013585069055,476.66156751555013
16,15,0,10,0,1,451.0135850690549,451.0135850690549,451.0135850690549
17,16,2,10,0,0,451.0135850690549,451.0135850690549,458.099324928052
18,17,1,10,0,1,450.413585069055,450.413585069055,450.413585069055
19,17,1,12,1,0,450.413585069055,450.413585069055,
20,18,1,9,0,0,450.413585069055,450.413585069055,462.26605619747323
21,19,2,9,0,0,450.413585069055,450.413585069055,483.71723176867863
22,19,1,11,1,0,450.413585069055,450.413585069055,
23,20,0,11,0,1,450.513585069055,450.413585069055,450.513585069055
24,21,1,11,0,0,450.513585069055,450.413585069055,529.5665371868467
25,22,2,9,0,1,450.31358506905497,450.31358506905497,450.31358506905497
26,23,2,10,0,1,451.31358506905497,450.31358506905497,451.31358506905497
27,23,0,9,1,0,451.31358506905497,450.31358506905497,
28,24,2,10,0,0,451.31358506905497,450.31358506905497,481.3573495404693
29,25,1,8,0,1,451.1135850690549,450.31358506905497,451.1135850690549
30,26,0,10,0,1,450.71358506905494,450.31358506905497,450.71358506905494
31,27,0,11,0,1,450.413585069055,450.31358506905497,450.413585069055
32,28,1,12,0,1,445.7334410707688,445.7334410707688,445.7334410707688
33,29,2,11,0,1,408.69230775037613,408.69230775037613,408.69230775037613
34,30,0,10,0,0,408.69230775037613,408.69230775037613,445.63344107076875
35,31,2,10,0,0,408.69230775037613,408.69230775037613,527.8766035788377
36,32,2,12,0,1,406.29230775037627,406.29230775037627,406.29230775037627
37,33,1,9,0,0,406.29230775037627,406.29230775037627,572.8396047791609
38,34,1,11,0,0,406.29230775037627,406.29230775037627,420.7828123031565
39,35,2,9,0,0,406.29230775037627,406.29230775037627,434.1756929244078
40,36,1,12,0,0,406.29230775037627,406.29230775037627,481.34631486077564
41,37,2,10,0,0,406.29230775037627,406.29230775037627,448.29642157538524
42,38,1,10,0,0,406.29230775037627,406.29230775037627,481.34631486077564
43,39,2,11,0,0,406.29230775037627,406.29230775037627,421.8778385157777
44,40,2,9,0,0,406.29230775037627,406.29230775037627,484.1463148607757
45,41,1,9,0,1,406.2923077503762,406.2923077503762,406.2923077503762
46,42,1,10,0,0,406.2923077503762,406.2923077503762,420.78281230315645
47,43,1,11,0,0,406.2923077503762,406.2923077503762,524.8096294354435
48,44,1,12,0,0,406.2923077503762,406.2923077503762,427.02468693669135
49,45,0,12,0,0,406.2923077503762,406.2923077503762,420.78281230315645
50,46,0,9,0,0,406.2923077503762,406.2923077503762,424.35006730798983
51,47,1,10,0,1,406.94587904361356,406.2923077503762,406.94587904361356
52,48,0,12,0,1,397.7068805426805,397.7068805426805,397.7068805426805
53,49,1,10,0,0,397.7068805426805,397.7068805426805,432.94457478987795
54,50,2,9,0,1,397.7068805426805,397.7068805426805,397.7068805426805
55,51,0,9,0,1,397.5068805426805,397.5068805426805,397.5068805426805
56,52,0,11,0,0,397.5068805426805,397.5068805426805,432.94457478987795
57,53,0,9,0,0,397.5068805426805,397.5068805426805,436.64457478987794
58,54,0,9,0,1,397.97741072667327,397.5068805426805,397.97741072667327
59,55,2,9,0,1,395.70688054268044,395.70688054268044,395.70688054268044
60,56,0,9,0,1,398.9351618406587,395.70688054268044,398.9351618406587
61,57,2,9,0,1,400.4351618406586,395.70688054268044,400.4351618406586
62,58,0,12,0,1,400.23516184065863,395.70688054268044,400.23516184065863
63,59,0,11,0,0,400.23516184065863,395.70688054268044,465.40240746858996
64,60,0,10,0,1,400.1351618406586,395.70688054268044,400.1351618406586
65,61,1,11,0,0,400.1351618406586,395.70688054268044,465.30240746858993
66,62,0,12,0,0,400.1351618406586,395.70688054268044,465.30240746858993
67,63,2,12,0,0,400.1351618406586,395.70688054268044,465.30240746858993
68,64,2,10,0,0,400.1351618406586,395.70688054268044,409.0238316349253
69,65,1,11,0,0,400.1351618406586,395.70688054268044,401.3068805426804
70,66,1,10,0,0,400.1351618406586,395.70688054268044,472.5024074685899
71,66,2,11,1,0,400.1351618406586,395.70688054268044,
72,67,0,10,0,0,400.1351618406586,395.70688054268044,487.144535623436
73,68,2,11,0,0,400.1351618406586,395.70688054268044,458.92884084707606
74,69,0,11,0,1,396.9068805426804,395.70688054268044,396.9068805426804
75,70,0,12,0,0,396.9068805426804,395.70688054268044,529.6675215956263
76,71,1,10,0,1,397.85299503734205,395.70688054268044,397.85299503734205
77,72,0,9,0,1,395.9529950373421,395.70688054268044,395.9529950373421
78,73,1,9,0,0,395.9529950373421,395.70688054268044,462.0426623949254
79,74,2,11,0,0,395.9529950373421,395.70688054268044,398.22528368502384
80,75,1,9,0,0,395.9529950373421,395.70688054268044,434.86548145958034
