decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,2,11,1,0,392.6738302055075,392.6738302055075,
2,0,0,11,1,0,392.6738302055075,392.6738302055075,
3,0,0,10,1,0,392.6738302055075,392.6738302055075,
4,1,2,10,0,0,392.6738302055075,392.6738302055075,394.0106364209253
5,1,0,11,1,0,392.6738302055075,392.6738302055075,
6,2,2,11,0,0,392.6738302055075,392.6738302055075,407.04524708478925
7,2,2,9,1,0,392.6738302055075,392.6738302055075,
8,3,2,11,0,0,392.6738302055075,392.6738302055075,401.0422093155048
9,4,2,11,0,0,392.6738302055075,392.6738302055075,394.3738302055075
10,4,0,9,1,0,392.6738302055075,392.6738302055075,
11,5,2,9,0,0,392.6738302055075,392.6738302055075,399.67762757390534
12,5,1,11,1,0,392.6738302055075,392.6738302055075,
13,6,0,10,0,1,393.3738302055075,392.6738302055075,393.3738302055075
14,7,2,10,0,1,380.5216088259341,380.5216088259341,380.5216088259341
15,8,0,11,0,0,380.5216088259341,380.5216088259341,388.29608889837266
16,9,1,9,0,0,380.5216088259341,380.5216088259341,393.3738302055075
17,10,2,9,0,0,380.5216088259341,380.5216088259341,394.61063642092535
18,11,2,9,0,1,379.821608825934,379.821608825934,379.821608825934
19,12,0,12,0,0,379.821608825934,379.821608825934,392.6738302055075
20,13,0,9,0,1,379.421608825934,379.421608825934,379.421608825934
21,14,0,10,0,1,375.5895015170705,375.5895015170705,375.5895015170705
22,15,2,11,0,0,375.5895015170705,375.5895015170705,395.1235277566956
23,16,2,11,0,1,377.3895015170705,375.5895015170705,377.3895015170705
24,17,2,10,0,0,377.3895015170705,375.5895015170705,401.8644032715687
25,18,0,10,0,1,377.32411579481,375.5895015170705,377.32411579481
26,19,2,10,0,1,376.52411579481,375.5895015170705,376.52411579481
27,20,0,10,0,1,376.7057600344106,375.5895015170705,376.7057600344106
28,21,2,12,0,0,376.7057600344106,375.5895015170705,377.83228569878526
29,22,1,8,0,1,377.9322856987852,375.5895015170705,377.9322856987852
30,23,2,12,0,1,375.5288906596128,375.5288906596128,375.5288906596128
31,24,0,11,0,0,375.5288906596128,375.5288906596128,416.6205762459479
32,25,2,12,0,0,375.5288906596128,375.5288906596128,383.55616773382724
