decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,1,10,1,0,475.1445356234361,475.1445356234361,
2,0,0,11,1,0,475.1445356234361,475.1445356234361,
3,1,2,10,0,0,475.1445356234361,475.1445356234361,489.00705265088277
4,2,2,11,0,0,475.1445356234361,475.1445356234361,482.3445356234362
5,2,0,11,1,0,475.1445356234361,475.1445356234361,
6,3,1,8,0,0,475.1445356234361,475.1445356234361,554.6576927550902
7,3,1,11,1,0,475.1445356234361,475.1445356234361,
8,4,1,12,0,0,475.1445356234361,475.1445356234361,479.5918459292047
9,5,0,11,0,1,470.5793554854511,470.5793554854511,470.5793554854511
10,6,2,11,0,0,470.5793554854511,470.5793554854511,493.71455064788415
11,7,2,8,0,0,470.5793554854511,470.5793554854511,493.71455064788415
12,8,0,10,0,1,476.8128253377134,470.5793554854511,476.8128253377134
13,9,2,12,0,0,476.8128253377134,470.5793554854511,493.37155342314276
14,10,1,10,0,0,476.8128253377134,470.5793554854511,615.8960296403205
15,11,1,10,0,1,463.0202654643873,463.0202654643873,463.0202654643873
16,12,1,10,0,0,463.0202654643873,463.0202654643873,550.0941847624129
17,13,2,9,0,1,446.91244484714707,446.91244484714707,446.91244484714707
18,14,2,9,0,0,446.91244484714707,446.91244484714707,447.88117722754885
19,15,2,12,0,0,446.91244484714707,446.91244484714707,447.41244484714707
20,16,0,11,0,1,434.5252253645842,434.5252253645842,434.5252253645842
21,17,2,9,0,1,432.82806965651446,432.82806965651446,432.82806965651446
22,18,2,11,0,1,434.5252253645842,432.82806965651446,434.5252253645842
23,19,0,12,0,0,434.5252253645842,432.82806965651446,446.9336629587577
24,20,2,9,0,0,434.5252253645842,432.82806965651446,438.8694790981887
25,21,2,10,0,0,434.5252253645842,432.82806965651446,488.41182584833905
26,22,1,9,0,0,434.5252253645842,432.82806965651446,444.63366295875767
27,23,0,11,0,0,434.5252253645842,432.82806965651446,441.3587098376438
28,24,2,9,0,1,422.0884708291291,422.0884708291291,422.0884708291291
29,25,2,11,0,0,422.0884708291291,422.0884708291291,427.2293237736127
30,26,2,10,0,0,422.0884708291291,422.0884708291291,444.414261046518
31,27,1,9,0,0,422.0884708291291,422.0884708291291,494.85801058656
32,28,0,9,0,1,422.04355881459077,422.04355881459077,422.04355881459077
33,29,2,11,0,0,422.04355881459077,422.04355881459077,472.5404110178868
34,30,1,9,0,0,422.04355881459077,422.04355881459077,471.8345229145881
35,31,0,12,0,1,426.8983598775591,422.04355881459077,426.8983598775591
36,32,0,12,0,1,428.398359877559,422.04355881459077,428.398359877559
37,33,0,10,0,1,422.1072969020355,422.04355881459077,422.1072969020355
38,34,0,10,0,0,422.1072969020355,422.04355881459077,435.84276992196686
39,35,0,9,0,0,422.1072969020355,422.04355881459077,445.0883505395644
40,36,0,11,0,1,418.841296311396,418.841296311396,418.841296311396
41,37,0,11,0,0,418.841296311396,418.841296311396,422.3007086181346
42,38,1,12,0,1,420.60729690203556,418.841296311396,420.60729690203556
