decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score,w_random,w_worst,w_shaw
1,0,1,8,1,0,475.1445356234361,475.1445356234361,,,,
2,1,2,11,0,0,475.1445356234361,475.1445356234361,498.78827634357344,1.0,1.0,1.0
3,2,1,8,0,1,463.790585061706,463.790585061706,463.790585061706,1.0,1.0,1.0
4,2,2,12,1,0,463.790585061706,463.790585061706,,,,
5,2,1,8,1,0,463.790585061706,463.790585061706,,,,
6,3,2,12,0,0,463.790585061706,463.790585061706,588.3534000935033,1.0,1.0,1.0
7,3,2,10,1,0,463.790585061706,463.790585061706,,,,
8,3,1,10,1,0,463.790585061706,463.790585061706,,,,
9,3,0,10,1,0,463.790585061706,463.790585061706,,,,
10,3,1,9,1,0,463.790585061706,463.790585061706,,,,
11,4,0,11,0,1,435.3794002206748,435.3794002206748,435.3794002206748,1.0,1.0,1.0
12,5,0,11,0,1,426.2847814974288,426.2847814974288,426.2847814974288,1.0,1.0,1.0
13,6,2,12,0,1,426.98478149742874,426.2847814974288,426.98478149742874,1.0,1.0,1.0
14,7,0,11,0,0,426.98478149742874,426.2847814974288,441.55094419299326,1.0,1.0,1.0
15,8,1,11,0,1,430.68119563413666,426.2847814974288,430.68119563413666,1.0,1.0,1.0
16,9,2,9,0,1,430.6811956341367,426.2847814974288,430.6811956341367,1.0,1.0,1.0
17,10,2,12,0,0,430.6811956341367,426.2847814974288,494.4491627974369,1.0,1.0,1.0
18,11,0,8,0,1,430.08119563413663,426.2847814974288,430.08119563413663,1.0,1.0,1.0
19,12,0,11,0,1,437.89204233498737,426.2847814974288,437.89204233498737,1.0,1.0,1.0
20,13,1,11,0,1,422.0975596413719,422.0975596413719,422.0975596413719,1.0,1.0,1.0
21,14,2,12,0,1,422.8975596413719,422.0975596413719,422.8975596413719,1.0,1.0,1.0
22,15,2,10,0,1,418.3972908457762,418.3972908457762,418.3972908457762,1.0,1.0,1.0
23,16,1,10,0,1,422.8975596413719,418.3972908457762,422.8975596413719,1.0,1.0,1.0
24,17,1,11,0,0,422.8975596413719,418.3972908457762,502.45366031360265,1.0,1.0,1.0
