decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,1,10,0,0,412.2078564451325,392.6738302055075,392.6738302055075
2,2,0,12,0,0,399.67762757390534,392.6738302055075,392.6738302055075
3,2,0,9,1,0,,392.6738302055075,392.6738302055075
4,2,0,12,1,0,,392.6738302055075,392.6738302055075
5,2,2,9,1,0,,392.6738302055075,392.6738302055075
6,2,0,10,1,0,,392.6738302055075,392.6738302055075
7,2,0,11,1,0,,392.6738302055075,392.6738302055075
8,2,1,9,1,0,,392.6738302055075,392.6738302055075
9,2,1,9,1,0,,392.6738302055075,392.6738302055075
10,2,1,10,1,0,,392.6738302055075,392.6738302055075
11,3,2,12,0,1,384.6811834729395,384.6811834729395,384.6811834729395
12,4,1,11,0,1,385.57920134142256,385.57920134142256,384.6811834729395
13,5,1,9,0,1,386.4041770563762,386.4041770563762,384.6811834729395
14,6,0,9,0,1,376.7549254835422,376.7549254835422,376.7549254835422
15,7,1,12,0,0,400.6338147812769,376.7549254835422,376.7549254835422
16,8,1,9,0,0,387.124616150205,376.7549254835422,376.7549254835422
17,9,1,11,0,1,376.742721547059,376.742721547059,376.742721547059
18,10,0,10,0,1,376.40234627996165,376.40234627996165,376.40234627996165
19,11,2,11,0,0,407.7448685893699,376.40234627996165,376.40234627996165
20,12,2,9,0,0,382.3811114414246,376.40234627996165,376.40234627996165
21,13,1,10,0,1,376.50234627996167,376.50234627996167,376.40234627996165
22,14,1,11,0,1,373.5403314264857,373.5403314264857,373.5403314264857
23,15,1,11,0,0,418.92657708051354,373.5403314264857,373.5403314264857
24,16,2,9,0,0,404.88285373589395,373.5403314264857,373.5403314264857
25,17,2,10,0,0,384.3826793198627,373.5403314264857,373.5403314264857
26,18,0,12,0,1,381.15258231386605,381.15258231386605,373.5403314264857
27,19,2,9,0,0,411.94405507406617,381.15258231386605,373.5403314264857
28,20,2,9,0,0,389.53297521745714,381.15258231386605,373.5403314264857
29,21,0,12,0,1,373.5403314264857,373.5403314264857,373.5403314264857
30,22,2,11,0,0,407.34486858936987,373.5403314264857,373.5403314264857
31,23,2,9,0,0,404.88285373589395,373.5403314264857,373.5403314264857
32,24,2,9,0,0,385.1654873899441,373.5403314264857,373.5403314264857
33,25,2,11,0,0,396.07932447221066,373.5403314264857,373.5403314264857
34,26,2,10,0,1,374.9403314264857,374.9403314264857,373.5403314264857
35,27,1,9,0,0,395.025496828826,374.9403314264857,373.5403314264857
36,28,2,10,0,1,374.44624425763834,374.44624425763834,373.5403314264857
37,29,1,9,0,1,373.0462442576383,373.0462442576383,373.0462442576383
38,30,2,10,0,1,372.94624425763834,372.94624425763834,372.94624425763834
39,31,2,8,0,0,386.51236021565467,372.94624425763834,372.94624425763834
40,32,1,9,0,0,404.0632249081566,372.94624425763834,372.94624425763834
41,33,2,11,0,1,373.3800402735779,373.3800402735779,372.94624425763834
42,34,0,12,0,0,409.9943555807941,373.3800402735779,372.94624425763834
43,35,0,9,0,0,392.2843391851887,373.3800402735779,372.94624425763834
44,36,2,11,0,0,384.3556824272222,373.3800402735779,372.94624425763834
45,37,0,10,0,0,416.7076668516635,373.3800402735779,372.94624425763834
46,38,1,10,0,1,374.49980621585536,374.49980621585536,372.94624425763834
47,39,0,9,0,1,376.66274076424787,376.66274076424787,372.94624425763834
48,40,2,9,0,0,385.35709240951905,376.66274076424787,372.94624425763834
49,41,0,11,0,1,376.4429748219704,376.4429748219704,372.94624425763834
50,42,1,12,0,1,375.9429748219704,375.9429748219704,372.94624425763834
51,43,1,11,0,1,373.18004027357784,373.18004027357784,372.94624425763834
52,44,1,12,0,1,372.38004027357783,372.38004027357783,372.38004027357783
53,45,2,11,0,0,417.0915589267015,372.38004027357783,372.38004027357783
54,46,0,10,0,1,373.43647854897347,373.43647854897347,372.38004027357783
55,47,0,11,0,1,372.5413097390321,372.5413097390321,372.38004027357783
56,48,2,11,0,1,377.07733368466444,377.07733368466444,372.38004027357783
57,49,2,11,0,1,376.6435376687249,376.6435376687249,372.38004027357783
58,50,0,10,0,1,372.10751372309255,372.10751372309255,372.10751372309255
59,51,2,11,0,0,403.33420147663645,372.10751372309255,372.10751372309255
60,52,2,12,0,1,372.9190301183109,372.9190301183109,372.10751372309255
61,53,0,12,0,0,375.51311728715825,372.9190301183109,372.10751372309255
62,54,1,12,0,1,373.7066456064723,373.7066456064723,372.10751372309255
63,54,2,9,1,0,,373.7066456064723,372.10751372309255
64,55,1,12,0,1,372.9190301183109,372.9190301183109,372.10751372309255
65,56,2,9,0,0,373.40751372309256,372.9190301183109,372.10751372309255
66,57,2,10,0,1,373.0541828487894,373.0541828487894,372.10751372309255
67,58,2,9,0,1,373.2800884049213,373.2800884049213,372.10751372309255
