method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-12.734242862305509,-7.6294701316428615,0.806,0.127
ALNS-Mean,OR-Tools,-13.038988813272358,-8.420628683367099,0.839,0.158
ALNS-Nominal,OR-Tools,0.0,0.0,0.0,1.0
Uniform-CVaR-FFseed,OR-Tools,-12.852693468452937,-8.042970343850953,0.822,0.15
Uniform-Mean-FFseed,OR-Tools,-13.226693446093675,-8.270171915462768,0.82,0.141
Uniform-CVaR-GRUseed,OR-Tools,-11.15039673192205,-6.887399099884334,0.789,0.205
Uniform-Mean-GRUseed,OR-Tools,-12.734298027550874,-8.091497898352117,0.816,0.14
ALNS-Mean,ALNS-CVaR,-0.3047459509668488,0.0,0.26,0.682
ALNS-Nominal,ALNS-CVaR,12.734242862305509,7.6294701316428615,0.067,0.127
OR-Tools,ALNS-CVaR,12.734242862305509,7.6294701316428615,0.067,0.127
Uniform-CVaR-FFseed,ALNS-CVaR,-0.11845060614742749,0.0,0.207,0.77
Uniform-Mean-FFseed,ALNS-CVaR,-0.4924505837881683,0.0,0.132,0.855
Uniform-CVaR-GRUseed,ALNS-CVaR,1.5838461303834566,0.0,0.207,0.512
Uniform-Mean-GRUseed,ALNS-CVaR,-5.516524536454881e-05,0.0,0.123,0.777
ALNS-CVaR,ALNS-Mean,0.3047459509668488,0.0,0.058,0.682
ALNS-Nominal,ALNS-Mean,13.038988813272358,8.420628683367099,0.003,0.158
OR-Tools,ALNS-Mean,13.038988813272358,8.420628683367099,0.003,0.158
Uniform-CVaR-FFseed,ALNS-Mean,0.1862953448194213,0.0,0.06,0.819
Uniform-Mean-FFseed,ALNS-Mean,-0.18770463282131952,0.0,0.062,0.745
Uniform-CVaR-GRUseed,ALNS-Mean,1.8885920813503054,0.0,0.01,0.693
Uniform-Mean-GRUseed,ALNS-Mean,0.3046907857214842,0.0,0.042,0.705
