decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
1,1,2,9,0,1,393.48534660072585,393.48534660072585,392.6738302055075,1.0,1.0,1.0
2,1,1,8,1,0,,393.48534660072585,392.6738302055075,,,
3,1,1,12,1,0,,393.48534660072585,392.6738302055075,,,
4,2,0,10,0,0,413.0193728403508,393.48534660072585,392.6738302055075,1.0,1.0,1.0
5,3,2,12,0,0,396.0794337695732,393.48534660072585,392.6738302055075,1.0,1.0,1.0
6,4,2,12,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
7,5,2,10,0,1,377.4437526578895,377.4437526578895,377.4437526578895,1.0,1.0,1.0
8,6,2,10,0,1,378.2552690531079,378.2552690531079,377.4437526578895,1.0,1.0,1.0
9,7,2,11,0,0,402.76601864932627,378.2552690531079,377.4437526578895,1.0,1.0,1.0
10,8,1,12,0,1,385.4926998681579,385.4926998681579,377.4437526578895,1.0,1.0,1.0
11,9,1,9,0,1,385.9811834729395,385.9811834729395,377.4437526578895,1.0,1.0,1.0
12,10,0,10,0,1,385.4926998681579,385.4926998681579,377.4437526578895,1.0,1.0,1.0
13,11,2,9,0,0,409.4548247841302,385.4926998681579,377.4437526578895,1.0,1.0,1.0
14,12,2,8,0,0,409.4548247841302,385.4926998681579,377.4437526578895,1.0,1.0,1.0
15,13,2,8,0,0,389.6753635268252,385.4926998681579,377.4437526578895,1.0,1.0,1.0
16,14,1,9,0,0,409.4548247841302,385.4926998681579,377.4437526578895,1.0,1.0,1.0
17,14,0,9,1,0,,385.4926998681579,377.4437526578895,,,
18,15,2,12,0,0,402.1488487360396,385.4926998681579,377.4437526578895,1.0,1.0,1.0
19,15,2,8,1,0,,385.4926998681579,377.4437526578895,,,
20,16,1,9,0,0,430.98200840353536,385.4926998681579,377.4437526578895,1.0,1.0,1.0
21,17,2,11,0,0,397.4432840859928,385.4926998681579,377.4437526578895,1.0,1.0,1.0
22,18,1,8,0,0,430.98200840353536,385.4926998681579,377.4437526578895,1.0,1.0,1.0
23,19,2,11,0,1,385.59269986815787,385.59269986815787,377.4437526578895,1.0,1.0,1.0
24,20,2,10,0,1,387.43178061351875,387.43178061351875,377.4437526578895,1.0,1.0,1.0
25,21,1,11,0,1,378.88169907961947,378.88169907961947,377.4437526578895,1.0,1.0,1.0
26,21,0,11,1,0,,378.88169907961947,377.4437526578895,,,
27,21,0,9,1,0,,378.88169907961947,377.4437526578895,,,
28,22,1,11,0,1,377.29826002540744,377.29826002540744,377.29826002540744,1.0666666666666667,0.9500000000000001,1.0285714285714287
29,23,2,12,0,0,394.57693399224996,377.29826002540744,377.29826002540744,1.0666666666666667,0.9500000000000001,1.0285714285714287
30,23,0,12,1,0,,377.29826002540744,377.29826002540744,,,
31,24,1,8,0,0,378.2559608940189,377.29826002540744,377.29826002540744,1.0666666666666667,0.9500000000000001,1.0285714285714287
32,25,2,9,0,0,378.94232017751244,377.29826002540744,377.29826002540744,1.0666666666666667,0.9500000000000001,1.0285714285714287
33,25,1,9,1,0,,377.29826002540744,377.29826002540744,,,
