decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,11,0,1,463.76120109124054,463.76120109124054,463.76120109124054
2,2,0,9,0,0,541.7422331728078,463.76120109124054,463.76120109124054
3,3,0,10,0,0,477.58160618379236,463.76120109124054,463.76120109124054
4,4,1,11,0,0,535.3420072122982,463.76120109124054,463.76120109124054
5,5,1,11,0,1,463.8049502210898,463.8049502210898,463.76120109124054
6,6,1,12,0,0,612.4329846278345,463.8049502210898,463.76120109124054
7,7,0,11,0,0,505.593610936692,463.8049502210898,463.76120109124054
8,8,0,9,0,1,462.90495022108985,462.90495022108985,462.90495022108985
9,8,1,9,1,0,,462.90495022108985,462.90495022108985
10,8,1,9,1,0,,462.90495022108985,462.90495022108985
11,9,2,11,0,0,630.458575899592,462.90495022108985,462.90495022108985
12,9,1,8,1,0,,462.90495022108985,462.90495022108985
13,9,2,8,1,0,,462.90495022108985,462.90495022108985
14,10,2,10,0,1,442.49385188671897,442.49385188671897,442.49385188671897
15,11,2,9,0,1,423.253699862336,423.253699862336,423.253699862336
16,12,0,10,0,0,425.2138015729088,423.253699862336,423.253699862336
17,13,2,12,0,1,423.2536998623361,423.2536998623361,423.253699862336
18,14,0,10,0,1,425.12506022466596,425.12506022466596,423.253699862336
19,15,0,11,0,0,431.87971497163056,425.12506022466596,423.253699862336
20,16,0,11,0,1,425.1250602246659,425.1250602246659,423.253699862336
21,17,1,12,0,0,437.36077226248597,425.1250602246659,423.253699862336
22,18,2,10,0,0,481.61770900756756,425.1250602246659,423.253699862336
23,19,1,11,0,0,431.8797149716305,425.1250602246659,423.253699862336
24,20,2,10,0,0,488.3918023185269,425.1250602246659,423.253699862336
25,21,2,8,0,1,442.9564517689847,442.9564517689847,423.253699862336
26,22,1,10,0,1,421.4877158459258,421.4877158459258,421.4877158459258
27,23,1,8,0,0,442.9564517689847,421.4877158459258,421.4877158459258
28,24,0,12,0,1,422.7528435072276,422.7528435072276,421.4877158459258
