decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,1,8,0,1,470.5793554854511,470.5793554854511,470.5793554854511
2,2,0,12,0,1,457.6461886020519,457.6461886020519,457.6461886020519
3,3,2,11,0,0,464.00318772027396,457.6461886020519,457.6461886020519
4,3,0,10,1,0,,457.6461886020519,457.6461886020519
5,3,1,11,1,0,,457.6461886020519,457.6461886020519
6,3,0,12,1,0,,457.6461886020519,457.6461886020519
7,4,2,12,0,0,482.21061890792726,457.6461886020519,457.6461886020519
8,5,0,11,0,1,461.55490300227785,461.55490300227785,457.6461886020519
9,5,0,11,1,0,,461.55490300227785,457.6461886020519
10,6,2,11,0,0,465.1035841845311,461.55490300227785,457.6461886020519
11,7,0,12,0,0,476.9747281874745,461.55490300227785,457.6461886020519
12,8,2,11,0,0,555.4379017198908,461.55490300227785,457.6461886020519
13,9,1,9,0,1,452.1454389269039,452.1454389269039,452.1454389269039
14,10,1,11,0,0,484.5974110202409,452.1454389269039,452.1454389269039
15,11,2,10,0,1,437.8755889283785,437.8755889283785,437.8755889283785
16,12,1,11,0,0,454.7779198927942,437.8755889283785,437.8755889283785
17,13,1,12,0,0,449.45850238085416,437.8755889283785,437.8755889283785
18,14,0,10,0,0,466.8485829240109,437.8755889283785,437.8755889283785
19,15,1,12,0,0,483.12786491008615,437.8755889283785,437.8755889283785
20,16,0,8,0,0,469.29625189875264,437.8755889283785,437.8755889283785
21,17,2,11,0,0,450.10749977003667,437.8755889283785,437.8755889283785
22,18,2,11,0,0,477.50409457184674,437.8755889283785,437.8755889283785
23,19,0,12,0,0,454.7779198927942,437.8755889283785,437.8755889283785
24,20,2,12,0,0,507.761502401708,437.8755889283785,437.8755889283785
25,21,1,11,0,0,508.7092769290061,437.8755889283785,437.8755889283785
26,22,0,11,0,1,418.089044518024,418.089044518024,418.089044518024
27,23,2,9,0,0,484.6176081380586,418.089044518024,418.089044518024
28,24,2,10,0,1,419.58904451802397,419.58904451802397,418.089044518024
29,25,2,12,0,1,419.2004503437796,419.2004503437796,418.089044518024
30,26,1,9,0,0,437.3251591314972,419.2004503437796,418.089044518024
31,27,1,10,0,0,574.2987862108329,419.2004503437796,418.089044518024
32,28,2,9,0,0,444.7461560701032,419.2004503437796,418.089044518024
33,29,1,10,0,0,511.12679278866693,419.2004503437796,418.089044518024
34,30,2,10,0,1,417.70045034377966,417.70045034377966,417.70045034377966
35,31,1,11,0,0,425.365594493492,417.70045034377966,417.70045034377966
36,32,2,10,0,0,435.1427699219668,417.70045034377966,417.70045034377966
37,33,0,8,0,0,440.74551373339375,417.70045034377966,417.70045034377966
38,34,1,9,0,0,435.1427699219668,417.70045034377966,417.70045034377966
39,35,2,10,0,0,549.2393320010999,417.70045034377966,417.70045034377966
40,36,2,9,0,1,415.1496497035573,415.1496497035573,415.1496497035573
41,37,2,11,0,0,430.79513421873133,415.1496497035573,415.1496497035573
42,38,0,10,0,0,670.0970747534614,415.1496497035573,415.1496497035573
43,39,0,11,0,0,468.8580813648863,415.1496497035573,415.1496497035573
44,40,1,8,0,0,417.70045034377966,415.1496497035573,415.1496497035573
45,41,0,12,0,1,405.5715533570742,405.5715533570742,405.5715533570742
46,42,2,9,0,0,441.79545087352034,405.5715533570742,405.5715533570742
47,43,2,9,0,0,502.1471244297358,405.5715533570742,405.5715533570742
48,44,1,9,0,0,421.36089678435536,405.5715533570742,405.5715533570742
49,45,0,11,0,0,412.4422153811923,405.5715533570742,405.5715533570742
50,46,0,9,0,0,421.36089678435536,405.5715533570742,405.5715533570742
51,47,0,9,0,0,471.1483097376545,405.5715533570742,405.5715533570742
52,48,2,11,0,0,451.50046220576365,405.5715533570742,405.5715533570742
53,49,1,11,0,0,451.50046220576365,405.5715533570742,405.5715533570742
54,50,2,9,0,1,393.0148684454573,393.0148684454573,393.0148684454573
55,51,0,10,0,0,410.8466412122702,393.0148684454573,393.0148684454573
56,52,2,11,0,0,437.7043929718717,393.0148684454573,393.0148684454573
57,53,1,12,0,0,438.97267372264673,393.0148684454573,393.0148684454573
58,54,0,12,0,0,533.0951960933921,393.0148684454573,393.0148684454573
