decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,0,11,1,0,392.6738302055075,392.6738302055075,
2,1,0,9,0,0,392.6738302055075,392.6738302055075,402.8118363220731
3,1,1,11,1,0,392.6738302055075,392.6738302055075,
4,1,2,11,1,0,392.6738302055075,392.6738302055075,
5,2,2,9,0,1,375.5895015170705,375.5895015170705,375.5895015170705
6,3,0,10,0,1,375.5895015170706,375.5895015170705,375.5895015170706
7,4,0,12,0,0,375.5895015170706,375.5895015170705,415.238107224072
8,5,0,12,0,1,375.5895015170705,375.5895015170705,375.5895015170705
9,6,0,11,0,1,376.547202385682,375.5895015170705,376.547202385682
10,7,2,11,0,0,376.547202385682,375.5895015170705,386.8663701920621
11,8,0,12,0,1,375.5895015170705,375.5895015170705,375.5895015170705
12,9,2,9,0,1,376.38950151707047,375.5895015170705,376.38950151707047
13,9,0,12,1,0,376.38950151707047,375.5895015170705,
14,10,0,9,0,0,376.38950151707047,375.5895015170705,377.3895015170705
15,11,2,10,0,1,377.20101791228893,375.5895015170705,377.20101791228893
16,12,1,12,0,1,376.43698082739166,375.5895015170705,376.43698082739166
17,13,2,9,0,1,374.60101791228897,374.60101791228897,374.60101791228897
18,14,1,12,0,0,374.60101791228897,374.60101791228897,393.48534660072585
19,15,0,9,0,0,374.60101791228897,374.60101791228897,393.48534660072585
20,16,1,8,0,0,374.60101791228897,374.60101791228897,393.48534660072585
21,17,1,12,0,0,374.60101791228897,374.60101791228897,379.31326177820057
22,17,0,10,1,0,374.60101791228897,374.60101791228897,
23,17,2,10,1,0,374.60101791228897,374.60101791228897,
24,17,0,10,1,0,374.60101791228897,374.60101791228897,
25,18,2,11,0,0,374.60101791228897,374.60101791228897,393.48534660072585
26,19,1,12,0,0,374.60101791228897,374.60101791228897,393.48534660072585
27,20,2,12,0,0,374.60101791228897,374.60101791228897,389.18571464396484
28,20,0,11,1,0,374.60101791228897,374.60101791228897,
29,21,1,12,0,0,374.60101791228897,374.60101791228897,393.48534660072585
30,22,1,9,0,0,374.60101791228897,374.60101791228897,393.48534660072585
31,23,2,12,0,0,374.60101791228897,374.60101791228897,385.4926998681579
32,24,0,11,0,0,374.60101791228897,374.60101791228897,392.6738302055075
33,25,0,12,0,0,374.60101791228897,374.60101791228897,382.97996662381667
34,26,1,9,0,0,374.60101791228897,374.60101791228897,393.48534660072585
35,27,2,11,0,0,374.60101791228897,374.60101791228897,394.1350441519139
36,27,0,11,1,0,374.60101791228897,374.60101791228897,
37,28,0,11,0,0,374.60101791228897,374.60101791228897,393.48534660072585
38,28,0,10,1,0,374.60101791228897,374.60101791228897,
39,29,2,12,0,0,374.60101791228897,374.60101791228897,393.48534660072585
40,30,2,12,0,0,374.60101791228897,374.60101791228897,387.66132278288444
41,30,2,12,1,0,374.60101791228897,374.60101791228897,
42,31,0,12,0,1,373.78950151707056,373.78950151707056,373.78950151707056
43,32,0,10,0,0,373.78950151707056,373.78950151707056,392.6738302055075
44,33,2,11,0,1,392.6738302055075,373.78950151707056,392.6738302055075
45,34,2,12,0,0,392.6738302055075,373.78950151707056,452.7452972154703
46,34,2,12,1,0,392.6738302055075,373.78950151707056,
47,34,1,12,1,0,392.6738302055075,373.78950151707056,
48,34,0,10,1,0,392.6738302055075,373.78950151707056,
49,34,0,10,1,0,392.6738302055075,373.78950151707056,
50,35,1,9,0,1,394.0738302055075,373.78950151707056,394.0738302055075
51,36,0,9,0,1,392.6738302055075,373.78950151707056,392.6738302055075
52,37,2,10,0,1,383.85422921467074,373.78950151707056,383.85422921467074
53,38,2,9,0,0,383.85422921467074,373.78950151707056,392.9046369140874
54,38,0,9,1,0,383.85422921467074,373.78950151707056,
55,39,2,9,0,1,383.72911336158825,373.78950151707056,383.72911336158825
56,40,2,9,0,0,383.72911336158825,373.78950151707056,387.22075656831225
57,41,0,9,0,0,383.72911336158825,373.78950151707056,397.7123648804889
58,42,2,11,0,1,382.27908542305653,373.78950151707056,382.27908542305653
59,43,1,12,0,1,384.6811834729395,373.78950151707056,384.6811834729395
60,44,1,11,0,0,384.6811834729395,373.78950151707056,420.86489689273003
61,45,0,9,0,0,384.6811834729395,373.78950151707056,402.9447181011466
62,46,2,10,0,0,384.6811834729395,373.78950151707056,408.6433083889118
63,47,1,11,0,0,384.6811834729395,373.78950151707056,405.3654009818265
