decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,10,0,0,395.67383020550744,392.6738302055075,392.6738302055075
2,2,2,11,0,0,408.43254708089063,392.6738302055075,392.6738302055075
3,3,1,11,0,0,505.88220861887737,392.6738302055075,392.6738302055075
4,4,2,10,0,0,394.0738302055075,392.6738302055075,392.6738302055075
5,5,2,9,0,0,412.2078564451325,392.6738302055075,392.6738302055075
6,6,2,9,0,0,397.3440353532861,392.6738302055075,392.6738302055075
7,7,1,11,0,0,533.8526700678192,392.6738302055075,392.6738302055075
8,7,2,11,1,0,,392.6738302055075,392.6738302055075
9,8,2,11,0,1,383.85422921467074,383.85422921467074,383.85422921467074
10,9,0,11,0,0,391.3396607232275,383.85422921467074,383.85422921467074
11,10,2,11,0,1,380.95333749010007,380.95333749010007,380.95333749010007
12,11,0,9,0,1,381.7648538853185,381.7648538853185,380.95333749010007
13,12,2,10,0,0,401.2988801249435,381.7648538853185,380.95333749010007
14,12,0,9,1,0,,381.7648538853185,380.95333749010007
15,13,2,10,0,1,379.95104585082066,379.95104585082066,379.95104585082066
16,14,0,9,0,0,406.9549923238596,379.95104585082066,379.95104585082066
17,15,2,9,0,1,377.85104585082064,377.85104585082064,377.85104585082064
18,16,2,12,0,1,377.51724983488106,377.51724983488106,377.51724983488106
19,16,2,10,1,0,,377.51724983488106,377.51724983488106
20,16,0,11,1,0,,377.51724983488106,377.51724983488106
21,16,1,9,1,0,,377.51724983488106,377.51724983488106
22,16,0,9,1,0,,377.51724983488106,377.51724983488106
23,17,2,8,0,0,385.76357562316434,377.51724983488106,377.51724983488106
24,17,1,9,1,0,,377.51724983488106,377.51724983488106
25,17,2,9,1,0,,377.51724983488106,377.51724983488106
26,17,0,9,1,0,,377.51724983488106,377.51724983488106
27,18,0,11,0,1,377.12834887033677,377.12834887033677,377.12834887033677
28,19,2,12,0,0,379.0479714681377,377.12834887033677,377.12834887033677
29,20,2,10,0,1,376.72238264844503,376.72238264844503,376.72238264844503
30,21,2,12,0,1,375.6300555785247,375.6300555785247,375.6300555785247
31,22,2,11,0,1,376.12238264844495,376.12238264844495,375.6300555785247
32,23,1,11,0,0,388.1949672400043,376.12238264844495,375.6300555785247
33,24,2,12,0,1,376.82238264844494,376.82238264844494,375.6300555785247
34,25,1,11,0,1,376.12238264844495,376.12238264844495,375.6300555785247
35,26,0,9,0,0,378.0784034303487,376.12238264844495,375.6300555785247
36,27,1,10,0,0,394.72752165225415,376.12238264844495,375.6300555785247
37,28,1,11,0,0,390.8969507204115,376.12238264844495,375.6300555785247
38,29,2,8,0,1,377.8223826484449,377.8223826484449,375.6300555785247
39,30,0,10,0,0,383.123991031814,377.8223826484449,375.6300555785247
40,31,0,11,0,1,377.82238264844494,377.82238264844494,375.6300555785247
41,32,1,11,0,0,381.17374853858564,377.82238264844494,375.6300555785247
42,33,0,9,0,0,378.40691546390985,377.82238264844494,375.6300555785247
43,34,2,9,0,0,381.17374853858564,377.82238264844494,375.6300555785247
44,35,1,10,0,0,387.6835767443756,377.82238264844494,375.6300555785247
45,36,2,11,0,1,377.8223826484449,377.8223826484449,375.6300555785247
46,37,2,10,0,1,377.47235470991325,377.47235470991325,375.6300555785247
47,38,1,10,0,0,386.1464420649106,377.47235470991325,375.6300555785247
48,39,1,9,0,1,389.5427841855411,389.5427841855411,375.6300555785247
49,40,2,10,0,0,416.68191191903924,389.5427841855411,375.6300555785247
50,41,2,11,0,0,393.8538971027723,389.5427841855411,375.6300555785247
51,42,0,9,0,0,407.4302243527851,389.5427841855411,375.6300555785247
