decision,evaluated,operator,q,accepted,candidate_score,current_score,best_score
4,1,1,11,1,372.99543668190745,372.99543668190745,367.20000000000005
6,2,2,12,1,368.70000000000005,368.70000000000005,367.20000000000005
7,3,2,12,0,372.2,368.70000000000005,367.20000000000005
8,4,0,11,1,368.40000000000003,368.40000000000003,367.20000000000005
9,5,2,12,0,378.9999999999999,368.40000000000003,367.20000000000005
10,6,0,10,1,367.70000000000005,367.70000000000005,367.20000000000005
11,7,1,12,0,384.8184342682482,367.70000000000005,367.20000000000005
12,8,2,11,1,372.99543668190745,372.99543668190745,367.20000000000005
13,9,1,12,1,373.69543668190744,373.69543668190744,367.20000000000005
14,10,2,10,1,369.20000000000005,369.20000000000005,367.20000000000005
15,11,2,11,0,392.3999999999999,369.20000000000005,367.20000000000005
17,12,0,11,0,394.90000000000003,369.20000000000005,367.20000000000005
18,13,2,9,1,378.5,378.5,367.20000000000005
19,14,1,11,1,377.2,377.2,367.20000000000005
20,15,2,10,0,382.1,377.2,367.20000000000005
21,16,1,12,1,375.5,375.5,367.20000000000005
22,17,0,9,1,375.3,375.3,367.20000000000005
23,18,2,12,1,375.29999999999995,375.29999999999995,367.20000000000005
24,19,0,10,1,374.49999999999994,374.49999999999994,367.20000000000005
25,20,1,11,1,374.49999999999994,374.49999999999994,367.20000000000005
26,21,2,11,0,379.5999999999999,374.49999999999994,367.20000000000005
27,22,0,11,1,374.0999999999999,374.0999999999999,367.20000000000005
28,23,0,8,1,374.8999999999999,374.8999999999999,367.20000000000005
29,24,2,9,1,374.5999999999999,374.5999999999999,367.20000000000005
30,25,1,9,1,373.7999999999999,373.7999999999999,367.20000000000005
32,26,2,10,1,373.79999999999995,373.79999999999995,367.20000000000005
33,27,2,9,1,373.7999999999999,373.7999999999999,367.20000000000005
36,28,0,10,1,374.9999999999999,374.9999999999999,367.20000000000005
37,29,0,12,0,395.61247770839447,374.9999999999999,367.20000000000005
38,30,2,12,1,374.5999999999999,374.5999999999999,367.20000000000005
39,31,1,11,1,373.79999999999995,373.79999999999995,367.20000000000005
40,32,2,11,1,373.7999999999999,373.7999999999999,367.20000000000005
41,33,2,9,1,374.1999999999999,374.1999999999999,367.20000000000005
42,34,1,12,1,373.7999999999999,373.7999999999999,367.20000000000005
44,35,0,11,1,374.0999999999999,374.0999999999999,367.20000000000005
45,36,1,12,0,375.29999999999995,374.0999999999999,367.20000000000005
46,37,0,9,1,374.0999999999999,374.0999999999999,367.20000000000005
47,38,2,12,1,373.7999999999999,373.7999999999999,367.20000000000005
48,39,1,10,1,374.8999999999999,374.8999999999999,367.20000000000005
49,40,1,11,1,374.29999999999995,374.29999999999995,367.20000000000005
50,41,2,12,1,374.9,374.9,367.20000000000005
51,42,1,12,1,374.3999999999999,374.3999999999999,367.20000000000005
52,43,0,10,1,374.3999999999999,374.3999999999999,367.20000000000005
55,44,0,10,1,373.7999999999999,373.7999999999999,367.20000000000005
57,45,2,9,1,375.1999999999999,375.1999999999999,367.20000000000005
58,46,2,11,1,375.3999999999998,375.3999999999998,367.20000000000005
59,47,0,10,1,376.1999999999999,376.1999999999999,367.20000000000005
60,48,0,9,1,375.3999999999998,375.3999999999998,367.20000000000005
61,49,1,9,0,380.2999999999999,375.3999999999998,367.20000000000005
63,50,0,11,1,375.9999999999999,375.9999999999999,367.20000000000005
64,51,1,10,1,375.59999999999985,375.59999999999985,367.20000000000005
65,52,0,8,1,376.39999999999986,376.39999999999986,367.20000000000005
66,53,2,11,1,377.4637237722376,377.4637237722376,367.20000000000005
67,54,0,10,1,376.6637237722376,376.6637237722376,367.20000000000005
68,55,0,10,0,376.86372377223756,376.6637237722376,367.20000000000005
69,56,0,9,0,381.46372377223764,376.6637237722376,367.20000000000005
70,57,2,12,1,376.76372377223754,376.76372377223754,367.20000000000005
71,58,2,9,1,375.99999999999983,375.99999999999983,367.20000000000005
72,59,1,10,1,375.99999999999983,375.99999999999983,367.20000000000005
73,60,2,12,1,375.5999999999998,375.5999999999998,367.20000000000005
75,61,0,9,1,375.7999999999998,375.7999999999998,367.20000000000005
76,62,0,11,1,376.49999999999983,376.49999999999983,367.20000000000005
78,63,2,10,0,383.6999999999999,376.49999999999983,367.20000000000005
79,64,1,9,1,375.7999999999998,375.7999999999998,367.20000000000005
80,65,1,12,0,382.29999999999967,375.7999999999998,367.20000000000005
81,66,1,8,1,375.5999999999998,375.5999999999998,367.20000000000005
82,67,1,11,0,383.89999999999975,375.5999999999998,367.20000000000005
83,68,1,11,1,376.76372377223754,376.76372377223754,367.20000000000005
84,69,2,9,0,377.6637237722376,376.76372377223754,367.20000000000005
85,70,0,9,1,375.5999999999998,375.5999999999998,367.20000000000005
86,71,2,11,1,376.76372377223754,376.76372377223754,367.20000000000005
87,72,0,12,1,377.59999999999985,377.59999999999985,367.20000000000005
88,73,1,10,1,375.99999999999983,375.99999999999983,367.20000000000005
89,74,2,11,1,376.19999999999976,376.19999999999976,367.20000000000005
90,75,2,10,0,397.49999999999983,376.19999999999976,367.20000000000005
91,76,1,9,0,377.9999999999998,376.19999999999976,367.20000000000005
92,77,0,10,0,398.1999999999998,376.19999999999976,367.20000000000005
93,78,1,10,0,378.49999999999983,376.19999999999976,367.20000000000005
94,79,1,12,1,376.1999999999998,376.1999999999998,367.20000000000005
95,80,1,11,0,397.1999999999999,376.1999999999998,367.20000000000005
96,81,1,12,1,375.49999999999983,375.49999999999983,367.20000000000005
97,82,1,10,0,394.9999999999999,375.49999999999983,367.20000000000005
98,83,2,10,0,397.4999999999999,375.49999999999983,367.20000000000005
99,84,0,10,0,377.8999999999998,375.49999999999983,367.20000000000005
100,85,2,9,0,376.49999999999983,375.49999999999983,367.20000000000005
101,86,0,11,0,387.29999999999984,375.49999999999983,367.20000000000005
102,87,2,11,1,375.2999999999998,375.2999999999998,367.20000000000005
103,88,2,12,1,377.1999999999998,377.1999999999998,367.20000000000005
104,89,1,10,0,381.3999999999998,377.1999999999998,367.20000000000005
105,90,0,8,1,376.6999999999999,376.6999999999999,367.20000000000005
106,91,1,8,1,376.4999999999999,376.4999999999999,367.20000000000005
109,92,2,12,1,378.7999999999999,378.7999999999999,367.20000000000005
110,93,0,11,1,377.19999999999993,377.19999999999993,367.20000000000005
111,94,2,9,1,378.5,378.5,367.20000000000005
112,95,1,11,1,377.0,377.0,367.20000000000005
114,96,1,10,1,377.3637237722378,377.3637237722378,367.20000000000005
115,97,2,12,1,377.86372377223773,377.86372377223773,367.20000000000005
116,98,0,11,1,377.3637237722378,377.3637237722378,367.20000000000005
117,99,1,11,1,376.8637237722378,376.8637237722378,367.20000000000005
118,100,1,10,1,376.50000000000006,376.50000000000006,367.20000000000005
119,101,2,10,1,376.09999999999997,376.09999999999997,367.20000000000005
120,102,2,10,1,375.59999999999997,375.59999999999997,367.20000000000005
121,103,0,12,1,376.46372377223776,376.46372377223776,367.20000000000005
122,104,2,8,1,376.09999999999997,376.09999999999997,367.20000000000005
123,105,1,11,1,375.59999999999997,375.59999999999997,367.20000000000005
124,106,0,10,1,375.5999999999999,375.5999999999999,367.20000000000005
125,107,1,9,1,375.99999999999994,375.99999999999994,367.20000000000005
126,108,1,11,1,375.99999999999994,375.99999999999994,367.20000000000005
127,109,2,12,1,375.99999999999994,375.99999999999994,367.20000000000005
128,110,1,8,1,375.99999999999994,375.99999999999994,367.20000000000005
129,111,0,9,1,374.9,374.9,367.20000000000005
130,112,1,11,1,374.9,374.9,367.20000000000005
131,113,1,11,1,374.19999999999993,374.19999999999993,367.20000000000005
133,114,1,11,0,374.99999999999994,374.19999999999993,367.20000000000005
134,115,1,12,0,387.25724790039925,374.19999999999993,367.20000000000005
135,116,0,11,1,374.19999999999993,374.19999999999993,367.20000000000005
136,117,2,12,1,373.7999999999999,373.7999999999999,367.20000000000005
137,118,2,12,1,374.5999999999999,374.5999999999999,367.20000000000005
138,119,1,9,1,373.7999999999999,373.7999999999999,367.20000000000005
139,120,2,8,1,374.3999999999999,374.3999999999999,367.20000000000005
140,121,0,11,1,373.7999999999999,373.7999999999999,367.20000000000005
141,122,2,11,0,375.2999999999998,373.7999999999999,367.20000000000005
142,123,2,12,1,374.5999999999999,374.5999999999999,367.20000000000005
143,124,2,12,1,376.19999999999993,376.19999999999993,367.20000000000005
144,125,2,10,1,376.2999999999999,376.2999999999999,367.20000000000005
145,126,0,12,1,377.2999999999999,377.2999999999999,367.20000000000005
146,127,0,9,1,376.7999999999999,376.7999999999999,367.20000000000005
147,128,2,11,1,376.9999999999999,376.9999999999999,367.20000000000005
148,129,2,9,0,378.09999999999985,376.9999999999999,367.20000000000005
150,130,0,11,1,376.4999999999999,376.4999999999999,367.20000000000005
151,131,2,10,0,377.5999999999999,376.4999999999999,367.20000000000005
153,132,2,11,1,378.89999999999986,378.89999999999986,367.20000000000005
154,133,0,12,0,392.6124777083944,378.89999999999986,367.20000000000005
155,134,2,12,1,378.69999999999993,378.69999999999993,367.20000000000005
156,135,1,10,0,394.2,378.69999999999993,367.20000000000005
157,136,0,12,1,378.19999999999993,378.19999999999993,367.20000000000005
158,137,0,12,1,378.2,378.2,367.20000000000005
159,138,1,11,1,378.19999999999993,378.19999999999993,367.20000000000005
160,139,0,9,0,410.2,378.19999999999993,367.20000000000005
161,140,0,12,1,376.79999999999995,376.79999999999995,367.20000000000005
162,141,1,9,1,375.69999999999993,375.69999999999993,367.20000000000005
163,142,1,11,1,375.7,375.7,367.20000000000005
164,143,2,10,1,375.7,375.7,367.20000000000005
165,144,1,10,1,375.5999999999999,375.5999999999999,367.20000000000005
166,145,2,11,1,377.5,377.5,367.20000000000005
167,146,0,8,0,381.09999999999997,377.5,367.20000000000005
168,147,0,12,1,377.49999999999994,377.49999999999994,367.20000000000005
169,148,1,11,1,377.5,377.5,367.20000000000005
170,149,0,12,1,377.49999999999994,377.49999999999994,367.20000000000005
171,150,1,9,1,377.5,377.5,367.20000000000005
172,151,2,12,0,383.1999999999999,377.5,367.20000000000005
173,152,0,9,1,377.49999999999994,377.49999999999994,367.20000000000005
174,153,2,10,1,378.6999999999999,378.6999999999999,367.20000000000005
175,154,2,9,0,378.9999999999999,378.6999999999999,367.20000000000005
177,155,2,9,0,381.5085389507039,378.6999999999999,367.20000000000005
178,156,0,11,0,379.6999999999999,378.6999999999999,367.20000000000005
179,157,0,10,1,379.59999999999985,379.59999999999985,367.20000000000005
180,158,0,12,1,379.39999999999986,379.39999999999986,367.20000000000005
181,159,0,12,0,384.1119620692029,379.39999999999986,367.20000000000005
182,160,1,11,1,379.0999999999999,379.0999999999999,367.20000000000005
183,161,1,12,1,379.0999999999999,379.0999999999999,367.20000000000005
184,162,1,10,1,379.49999999999983,379.49999999999983,367.20000000000005
185,163,0,8,0,380.3999999999998,379.49999999999983,367.20000000000005
186,164,2,9,1,378.49999999999983,378.49999999999983,367.20000000000005
187,165,2,11,1,378.1999999999998,378.1999999999998,367.20000000000005
188,166,0,9,1,378.09999999999985,378.09999999999985,367.20000000000005
189,167,1,11,0,380.09999999999985,378.09999999999985,367.20000000000005
190,168,0,8,1,377.2999999999999,377.2999999999999,367.20000000000005
191,169,2,12,1,378.8999999999999,378.8999999999999,367.20000000000005
192,170,2,10,0,390.5,378.8999999999999,367.20000000000005
193,171,0,10,0,382.69999999999993,378.8999999999999,367.20000000000005
194,172,0,12,0,392.5,378.8999999999999,367.20000000000005
195,173,1,9,1,377.9999999999999,377.9999999999999,367.20000000000005
196,174,1,10,1,380.2999999999999,380.2999999999999,367.20000000000005
197,175,0,10,1,380.0999999999999,380.0999999999999,367.20000000000005
198,176,1,9,1,378.4999999999999,378.4999999999999,367.20000000000005
199,177,0,10,1,378.5999999999999,378.5999999999999,367.20000000000005
200,178,2,10,1,376.9,376.9,367.20000000000005
201,179,2,9,1,376.49999999999994,376.49999999999994,367.20000000000005
202,180,2,11,1,375.59999999999997,375.59999999999997,367.20000000000005
203,181,0,10,1,375.4,375.4,367.20000000000005
204,182,0,10,1,375.3999999999999,375.3999999999999,367.20000000000005
207,183,1,11,1,376.2,376.2,367.20000000000005
208,184,2,10,1,376.2,376.2,367.20000000000005
209,185,2,11,1,377.40000000000003,377.40000000000003,367.20000000000005
210,186,2,10,0,386.8126824537667,377.40000000000003,367.20000000000005
211,187,2,12,1,377.70000000000005,377.70000000000005,367.20000000000005
212,188,2,12,0,381.4,377.70000000000005,367.20000000000005
213,189,1,12,1,377.70000000000005,377.70000000000005,367.20000000000005
214,190,0,12,1,377.4,377.4,367.20000000000005
215,191,1,10,1,377.40000000000003,377.40000000000003,367.20000000000005
216,192,2,8,1,377.4,377.4,367.20000000000005
217,193,0,9,1,377.4,377.4,367.20000000000005
218,194,2,11,1,377.4,377.4,367.20000000000005
219,195,0,11,1,378.6,378.6,367.20000000000005
220,196,2,9,1,379.4,379.4,367.20000000000005
221,197,1,9,1,379.4,379.4,367.20000000000005
222,198,0,11,1,379.1,379.1,367.20000000000005
223,199,1,9,1,378.49999999999994,378.49999999999994,367.20000000000005
224,200,0,9,1,378.5,378.5,367.20000000000005
225,201,0,10,1,378.50000000000006,378.50000000000006,367.20000000000005
226,202,1,10,1,378.5,378.5,367.20000000000005
227,203,0,10,1,377.2,377.2,367.20000000000005
228,204,0,12,1,377.20000000000005,377.20000000000005,367.20000000000005
229,205,1,9,1,377.00000000000006,377.00000000000006,367.20000000000005
230,206,1,10,1,376.19999999999993,376.19999999999993,367.20000000000005
231,207,1,10,1,376.19999999999993,376.19999999999993,367.20000000000005
232,208,1,10,1,376.19999999999993,376.19999999999993,367.20000000000005
233,209,1,10,1,375.9,375.9,367.20000000000005
234,210,0,9,1,375.4,375.4,367.20000000000005
235,211,0,12,0,376.5,375.4,367.20000000000005
236,212,2,10,1,376.59999999999997,376.59999999999997,367.20000000000005
237,213,0,11,1,376.59999999999997,376.59999999999997,367.20000000000005
238,214,2,9,1,381.5126824537666,381.5126824537666,367.20000000000005
239,215,2,10,1,378.29999999999995,378.29999999999995,367.20000000000005
240,216,2,12,1,377.8999999999999,377.8999999999999,367.20000000000005
241,217,0,9,1,376.99999999999994,376.99999999999994,367.20000000000005
242,218,0,10,1,376.59999999999997,376.59999999999997,367.20000000000005
