contrast,n,mean,sd,median,ci95_boot_lo,ci95_boot_hi,exact_signflip_p,positive_replicates,ties,negative_replicates,positive_interpretation
PRIMARY C1: OR CVaR eta=.70 - eta=0,10,52.50286699969648,5.820178547671996,52.41819729826952,49.14022946683084,55.93184953982593,0.001953125,10,0,0,Positive = stronger persistence increases tail risk for the fixed route.
PRIMARY C2: [G(.70)-G(0)],10,9.156929313471114,41.49544623327055,14.161946977153036,-15.229650679244326,33.310390257099215,0.494140625,6,0,4,Positive = stronger persistence increases the aligned-objective value of ALNS-CVaR relative to ALNS-Mean.
OR mean tardiness eta=.70 - eta=0,10,3.771370157133874,0.6125121038277112,3.879056001206769,3.4077423844094845,4.124900438556622,0.001953125,10,0,0,Positive = stronger persistence increases mean tardiness.
OR CVaR eta=.35 - eta=0,10,12.776937760344305,7.904533322652523,12.543726593952528,8.37165134398806,17.635666945056364,0.001953125,10,0,0,Positive = nominal persistence increases fixed-route tail risk.
G eta=0,10,10.244572659215663,19.797021415431615,4.299417761880733,-0.5366603550099023,22.564171664366153,0.166015625,7,0,3,Positive = ALNS-CVaR has lower test J_CVaR than ALNS-Mean.
G eta=.35,10,10.818626509122709,16.371802558425074,13.388260876815309,0.9904545585830453,20.186446229102106,0.068359375,8,0,2,Positive = ALNS-CVaR has lower test J_CVaR than ALNS-Mean.
G eta=.70,10,19.401501972686777,31.37983418227848,24.339516068978696,0.9660607105102337,37.940958215000585,0.078125,7,0,3,Positive = ALNS-CVaR has lower test J_CVaR than ALNS-Mean.
Tail-CVaR gain eta=0,10,7.552286329607822,8.882961921424963,6.709844759894474,2.553990565853238,12.979377934404344,0.029296875,7,0,3,Positive = ALNS-CVaR has lower tardiness CVaR than ALNS-Mean.
Tail-CVaR gain eta=.35,10,7.8793132545613584,8.294083020727703,7.626924155495324,3.024029336092749,12.796651602924447,0.015625,9,0,1,Positive = ALNS-CVaR has lower tardiness CVaR than ALNS-Mean.
Tail-CVaR gain eta=.70,10,11.830750986343391,14.886563766836646,12.104468250825695,3.553174688444551,21.110375796116546,0.02734375,7,0,3,Positive = ALNS-CVaR has lower tardiness CVaR than ALNS-Mean.
Tail-gain interaction .70 - 0,10,4.278464656735567,18.87251162645646,2.155973488576521,-6.3098024479377814,15.820240658260545,0.517578125,6,0,4,Positive = persistence increases the tail-risk reduction from CVaR search.
Route multiplier .70 - 0,10,-0.0025688697857324085,0.0014436441572888699,-0.0024668071594220464,-0.0034354883071961995,-0.0017501798539748283,0.001953125,0,0,10,Near zero supports matched mean route-level exposure for the fixed route.
