replicate,C1_OR_CVaR_eta70_minus_eta0,OR_mean_eta70_minus_eta0,OR_CVaR_eta035_minus_eta0,OR_multiplier_eta70_minus_eta0,G_eta0,G_eta035,G_eta070,C2_interaction_G70_minus_G0,interaction_G035_minus_G0,tail_gain_eta0,tail_gain_eta035,tail_gain_eta070,tail_gain_interaction_70_minus_0
1,46.38566990188092,4.284012158070837,4.750458096014597,-0.00041599589761442957,7.318208241614741,24.493074716824196,-26.37637900317509,-33.69458724478983,17.174866475209456,7.309104120807312,18.296537358412067,-3.738189501587623,-11.047293622394935
2,53.85661405199715,4.141917789553137,17.34653157159709,-0.002221250605977332,21.834949731448546,9.900987496036464,36.40258007828788,14.567630346839337,-11.933962235412082,15.417474865724182,4.200493748018182,17.051290039143968,1.6338151734197854
3,46.69785815962977,3.7390265528803646,12.403946890676345,-0.005171381282575105,-5.658611951880857,4.186365271330203,31.783944670038068,37.442556621918925,9.84497722321106,-0.6293059759404263,6.193182635665238,13.991972335018968,14.621278310959394
4,50.979780544541896,3.0416826101404126,5.418106127693179,-0.0030375667358291114,4.177664725798195,16.875534257594154,17.93392833326493,13.756263607466735,12.69786953179596,7.538832362899166,11.337767128797159,10.216964166632422,2.6781318037332564
5,62.58640407959467,4.626193940029525,5.021163592130549,-0.0017373512521725587,0.2632560598083842,-3.6746642449656974,-12.84924129447188,-13.112497354280265,-3.9379203047740816,0.38162802990417966,3.6126678775171746,-3.874620647235915,-4.2562486771400945
6,58.41395094452946,4.364810245499328,5.555124775360923,-0.0009116896267460373,45.34195930644228,19.77477396296962,-18.57372506793888,-63.91568437438116,-25.56718534347266,19.420979653221153,9.937386981484739,-6.386862533969364,-25.807842187190516
7,55.1250571382044,2.8362977695343634,14.898580785177188,-0.004328825050298635,-11.741719277385187,-20.71956921041624,18.997268544302983,30.73898782168817,-8.977849933031052,-2.1208596386925977,-6.8597846052081675,9.198634272151494,11.319493910844091
8,55.97362111331782,4.019085449533174,27.547597049139384,-0.002100363649800263,4.421170797963271,17.921331350650803,40.12957315261218,35.70840235464891,13.500160552687532,6.110585398981636,9.06066567532541,21.514786576306076,15.40420117732444
9,44.03363263836766,3.1974754420887948,22.14436241842509,-0.0030519100434438506,41.88677925947235,1.6839581180817618,29.68176359365441,-12.205015665817939,-40.20282114139059,22.643389629736138,1.141979059040838,16.64088179682727,-6.002507832908869
10,50.97608142490106,3.4631996140088024,12.68350629722871,-0.002712363712866761,-5.397930301125086,37.74447337312182,76.88530672029316,82.28323702141824,43.14240367424691,-0.5489651505625055,21.872236686560946,43.69265336014661,44.24161851070912
