day,method,n_customers,distance_km,tard_mean,tard_cvar95,on_time_mean,J_mean_test,J_cvar_test,search_runtime_s,external_wall_s
1,ALNS-CVaR,78,368.96666666666664,0.3448461264240988,4.7530468395077206,0.9985940170940171,369.6563589195148,378.47276034568205,29.996592583333648,30.037370000334096
1,ALNS-Mean,78,365.93333333333334,0.886271459735338,11.542441695975276,0.9976495726495727,367.70587625280405,389.01821672528393,43.37094827766729,43.41505086099884
1,OR-Tools,78,365.1000000000001,1.9443904589617464,15.694071383558976,0.9941752136752137,368.9887809179234,396.48814276711795,0.0,0.0
2,ALNS-CVaR,63,417.86666666666673,0.3726930025798838,6.053332226451797,0.9976878306878308,418.61205267182646,429.97333111957033,18.605115847334673,18.639362305334846
2,ALNS-Mean,63,414.63333333333344,1.3956276680928197,10.150211669256722,0.9914550264550265,417.4245886695191,434.9337566718469,24.830507874998148,24.867788805335294
2,OR-Tools,63,410.50000000000017,7.95627182359081,39.63934508460999,0.977042328042328,426.41254364718174,489.77869016922006,0.0,0.0
3,ALNS-CVaR,67,398.43333333333317,0.9920112637228525,13.613065389879596,0.9963582089552238,400.41735586077886,425.6594641130923,19.275902500000182,19.311659167001682
3,ALNS-Mean,67,397.2999999999998,1.0420509270040814,15.095715066357423,0.9966218905472637,399.38410185400795,427.49143013271464,20.912994402666907,20.952146166334085
3,OR-Tools,67,396.3999999999998,4.708742449996243,23.337488954892564,0.9842935323383083,405.8174848999923,443.0749779097849,0.0,0.0
4,ALNS-CVaR,69,435.8666666666668,1.0653974753582274,11.250767103874947,0.9966038647342996,437.9974616173833,458.36820087441674,21.987590569333406,22.02496433333484
4,ALNS-Mean,69,422.3666666666668,4.652286130948611,23.805328126825117,0.9884685990338168,431.67123892856404,469.97732292031714,29.157755221664654,29.198057735998493
4,OR-Tools,69,419.2000000000001,9.905062022034286,36.89717467496542,0.9770676328502418,439.01012404406873,492.99434934993104,0.0,0.0
5,ALNS-CVaR,75,405.0666666666668,1.1000729754957463,11.822824183193513,0.9965022222222221,407.2668126176582,428.7123150330538,24.86358344466862,24.90463023600023
5,ALNS-Mean,75,395.7,2.172350402241594,17.392510717499736,0.9929999999999999,400.04470080448317,430.48502143499945,26.12843381966377,26.172859208001075
5,OR-Tools,75,395.50000000000017,21.736143612346066,67.12814996190265,0.9633733333333333,438.97228722469225,529.7562999238054,0.0,0.0
6,ALNS-CVaR,77,378.4666666666667,1.6221810491206972,15.405859971685041,0.9956666666666667,381.711028764908,409.2783866100367,23.267410055668734,23.309651527667786
6,ALNS-Mean,77,377.8333333333333,2.1959834949379706,20.20654963892043,0.9951341991341991,382.2253003232093,418.2464326111742,27.024006500003452,27.069455166667467
6,OR-Tools,77,370.7000000000001,19.454554637194644,80.07452533276555,0.9591904761904759,409.60910927438937,530.8490506655311,0.0,0.0
7,ALNS-CVaR,66,371.7999999999999,3.4307376480851333,28.43044760195025,0.9899343434343434,378.6614752961702,428.66089520390034,17.946273916667753,17.982964416667528
7,ALNS-Mean,66,363.7999999999999,5.463570438615847,37.858676098091294,0.9868181818181817,374.72714087723165,439.51735219618246,20.631684888998283,20.671044749996025
7,OR-Tools,66,363.39999999999986,7.451040428473572,43.15802748698743,0.9827222222222222,378.302080856947,449.7160549739747,0.0,0.0
8,ALNS-CVaR,74,448.2,4.608324442102263,29.864456475609355,0.989054054054054,457.4166488842045,507.9289129512187,26.38041973633517,26.42203969433467
8,ALNS-Mean,74,438.70000000000005,6.321535496858232,41.39553079866294,0.9845945945945948,451.34307099371654,521.4910615973259,32.40305638899978,32.44728744433329
8,OR-Tools,74,437.7000000000002,11.32899275144947,60.74073586199366,0.973081081081081,460.3579855028991,559.1814717239876,0.0,0.0
9,ALNS-CVaR,84,434.2666666666666,3.7290084167162854,21.39468325501276,0.9898968253968254,441.7246835000992,477.05603317669215,31.666260305665975,31.71160069466714
9,ALNS-Mean,84,429.20000000000005,5.028903239227126,30.625888018096205,0.9859325396825397,439.2578064784543,490.4517760361925,33.65670416633657,33.705810291668364
9,OR-Tools,84,431.2999999999999,16.997759660491486,59.85129637614579,0.9679682539682539,465.2955193209828,551.0025927522915,0.0,0.0
