decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,1,8,1,0,470.9434839953559,470.9434839953559,
2,1,2,10,0,1,479.04817704233955,470.9434839953559,479.04817704233955
3,2,0,9,0,1,471.0866261488988,470.9434839953559,471.0866261488988
4,3,2,8,0,0,471.0866261488988,470.9434839953559,479.04817704233955
5,4,2,8,0,1,479.4143002823339,470.9434839953559,479.4143002823339
6,5,0,10,0,0,479.4143002823339,470.9434839953559,485.9010823298509
7,6,2,9,0,1,457.26069024004005,457.26069024004005,457.26069024004005
8,7,2,8,0,0,457.26069024004005,457.26069024004005,479.6143002823339
9,8,0,10,0,1,454.24781373143867,454.24781373143867,454.24781373143867
10,9,1,9,0,1,459.79473646074734,454.24781373143867,459.79473646074734
11,10,1,8,0,0,459.79473646074734,454.24781373143867,461.92492622077134
12,11,2,8,0,1,452.4739175355524,452.4739175355524,452.4739175355524
13,12,1,8,0,0,452.4739175355524,452.4739175355524,460.4192386913803
14,13,2,8,0,0,452.4739175355524,452.4739175355524,481.6314721569993
15,14,2,9,0,0,452.4739175355524,452.4739175355524,494.20605657571764
16,15,2,8,0,0,452.4739175355524,452.4739175355524,476.17564653038295
17,16,2,8,0,0,452.4739175355524,452.4739175355524,484.16129995799224
18,17,1,7,0,0,452.4739175355524,452.4739175355524,458.7662609770284
19,18,2,7,0,0,452.4739175355524,452.4739175355524,463.89911679756506
20,19,2,8,0,1,451.67391753555245,451.67391753555245,451.67391753555245
21,20,1,7,0,0,451.67391753555245,451.67391753555245,544.9750716149567
22,21,0,7,0,0,451.67391753555245,451.67391753555245,529.3482563029321
23,22,0,7,0,1,451.4739175355524,451.4739175355524,451.4739175355524
24,23,2,7,0,0,451.4739175355524,451.4739175355524,458.1689662665987
25,24,2,8,0,0,451.4739175355524,451.4739175355524,479.4329912111593
26,25,1,8,0,0,451.4739175355524,451.4739175355524,470.92789001156945
27,26,1,8,0,0,451.4739175355524,451.4739175355524,470.92789001156945
28,27,2,8,0,0,451.4739175355524,451.4739175355524,512.9926116690569
