decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,2,9,1,0,422.5303728494684,422.5303728494684,
2,0,1,9,1,0,422.5303728494684,422.5303728494684,
3,1,2,8,0,0,422.5303728494684,422.5303728494684,439.3333537103342
4,1,0,9,1,0,422.5303728494684,422.5303728494684,
5,1,1,9,1,0,422.5303728494684,422.5303728494684,
6,2,2,8,0,1,424.8303728494684,422.5303728494684,424.8303728494684
7,3,2,9,0,1,422.5303728494684,422.5303728494684,422.5303728494684
8,3,0,7,1,0,422.5303728494684,422.5303728494684,
9,3,0,8,1,0,422.5303728494684,422.5303728494684,
10,3,1,8,1,0,422.5303728494684,422.5303728494684,
11,3,0,8,1,0,422.5303728494684,422.5303728494684,
12,3,1,8,1,0,422.5303728494684,422.5303728494684,
13,3,0,9,1,0,422.5303728494684,422.5303728494684,
14,4,1,9,0,0,422.5303728494684,422.5303728494684,435.22853272908145
15,4,1,8,1,0,422.5303728494684,422.5303728494684,
16,5,2,8,0,1,424.8303728494684,422.5303728494684,424.8303728494684
17,6,1,8,0,1,422.5303728494684,422.5303728494684,422.5303728494684
18,6,1,7,1,0,422.5303728494684,422.5303728494684,
19,7,2,9,0,0,422.5303728494684,422.5303728494684,433.7909178535241
20,8,1,9,0,1,422.7303728494684,422.5303728494684,422.7303728494684
21,9,1,9,0,1,422.5303728494684,422.5303728494684,422.5303728494684
22,10,1,7,0,1,422.7303728494684,422.5303728494684,422.7303728494684
23,11,2,8,0,1,425.29437018023935,422.5303728494684,425.29437018023935
24,12,1,8,0,1,434.69091785352407,422.5303728494684,434.69091785352407
25,13,1,8,0,0,434.69091785352407,422.5303728494684,477.0553290242434
26,14,2,8,0,1,433.9909178535241,422.5303728494684,433.9909178535241
27,15,2,9,0,1,431.5102865475776,422.5303728494684,431.5102865475776
28,16,0,8,0,1,431.3102865475776,422.5303728494684,431.3102865475776
29,16,0,9,1,0,431.3102865475776,422.5303728494684,
30,16,0,9,1,0,431.3102865475776,422.5303728494684,
31,17,2,8,0,0,431.3102865475776,422.5303728494684,440.1738629098953
32,17,1,7,1,0,431.3102865475776,422.5303728494684,
33,18,0,9,0,1,431.60843960892424,422.5303728494684,431.60843960892424
34,19,2,9,0,1,431.4318159652998,422.5303728494684,431.4318159652998
35,20,2,8,0,0,431.4318159652998,422.5303728494684,448.6173280821366
36,21,2,10,0,0,431.4318159652998,422.5303728494684,448.2347968261656
37,21,0,7,1,0,431.4318159652998,422.5303728494684,
38,21,1,7,1,0,431.4318159652998,422.5303728494684,
39,22,1,8,0,0,431.4318159652998,422.5303728494684,437.9393232773016
40,23,2,7,0,1,444.74848164279183,422.5303728494684,444.74848164279183
41,24,2,8,0,1,440.89045453119144,422.5303728494684,440.89045453119144
42,25,1,10,0,1,431.4318159652998,422.5303728494684,431.4318159652998
43,26,2,8,0,1,433.7958132960707,422.5303728494684,433.7958132960707
44,27,0,9,0,1,434.4909178535241,422.5303728494684,434.4909178535241
45,28,0,9,0,0,434.4909178535241,422.5303728494684,442.02996923643474
46,29,1,9,0,1,433.7909178535241,422.5303728494684,433.7909178535241
47,30,2,9,0,0,433.7909178535241,422.5303728494684,447.8073658177417
48,31,0,9,0,1,422.5303728494684,422.5303728494684,422.5303728494684
49,31,1,9,1,0,422.5303728494684,422.5303728494684,
50,31,2,9,1,0,422.5303728494684,422.5303728494684,
51,32,2,8,0,0,422.5303728494684,422.5303728494684,427.6756237734203
52,32,1,7,1,0,422.5303728494684,422.5303728494684,
53,32,0,7,1,0,422.5303728494684,422.5303728494684,
54,32,1,8,1,0,422.5303728494684,422.5303728494684,
55,33,2,10,0,0,422.5303728494684,422.5303728494684,433.7909178535241
56,34,0,8,0,0,422.5303728494684,422.5303728494684,429.03788016147024
57,34,1,7,1,0,422.5303728494684,422.5303728494684,
58,35,2,8,0,0,422.5303728494684,422.5303728494684,439.8226674952741
59,35,2,9,1,0,422.5303728494684,422.5303728494684,
60,35,2,8,1,0,422.5303728494684,422.5303728494684,
61,36,2,8,0,0,422.5303728494684,422.5303728494684,429.706182446831
62,37,2,9,0,1,423.13221978812174,422.5303728494684,423.13221978812174
63,38,2,9,0,0,423.13221978812174,422.5303728494684,429.2463805988607
64,38,0,9,1,0,423.13221978812174,422.5303728494684,
65,38,2,9,1,0,423.13221978812174,422.5303728494684,
66,39,0,9,0,1,422.5303728494684,422.5303728494684,422.5303728494684
67,39,2,10,1,0,422.5303728494684,422.5303728494684,
68,39,0,7,1,0,422.5303728494684,422.5303728494684,
69,39,2,9,1,0,422.5303728494684,422.5303728494684,
70,40,1,9,0,0,422.5303728494684,422.5303728494684,439.3333537103342
71,40,0,9,1,0,422.5303728494684,422.5303728494684,
72,40,0,7,1,0,422.5303728494684,422.5303728494684,
73,41,0,8,0,0,422.5303728494684,422.5303728494684,430.0373472319698
74,41,0,8,1,0,422.5303728494684,422.5303728494684,
75,41,0,8,1,0,422.5303728494684,422.5303728494684,
76,42,2,9,0,0,422.5303728494684,422.5303728494684,427.6756237734203
77,43,0,10,0,0,422.5303728494684,422.5303728494684,442.66370096834385
78,43,2,9,1,0,422.5303728494684,422.5303728494684,
79,44,1,10,0,0,422.5303728494684,422.5303728494684,445.4415873225034
80,45,0,7,0,0,422.5303728494684,422.5303728494684,422.71596978784135
81,46,0,9,0,0,422.5303728494684,422.5303728494684,424.8303728494684
82,47,2,8,0,0,422.5303728494684,422.5303728494684,490.3402861106329
83,47,0,7,1,0,422.5303728494684,422.5303728494684,
84,48,2,9,0,0,422.5303728494684,422.5303728494684,429.2463805988607
85,49,2,8,0,0,422.5303728494684,422.5303728494684,457.2144324915328
86,50,1,10,0,0,422.5303728494684,422.5303728494684,445.4415873225034
87,51,1,10,0,1,429.90337487173605,422.5303728494684,429.90337487173605
88,52,1,9,0,1,429.4133296706438,422.5303728494684,429.4133296706438
89,53,0,10,0,1,429.55330378770094,422.5303728494684,429.55330378770094
90,54,1,10,0,1,429.4133296706438,422.5303728494684,429.4133296706438
91,55,1,9,0,1,428.9864297752769,422.5303728494684,428.9864297752769
92,55,2,8,1,0,428.9864297752769,422.5303728494684,
93,56,0,9,0,1,423.04425186158016,422.5303728494684,423.04425186158016
94,57,2,8,0,1,425.3442518615802,422.5303728494684,425.3442518615802
95,58,1,10,0,1,423.04425186158016,422.5303728494684,423.04425186158016
96,59,2,10,0,0,423.04425186158016,422.5303728494684,434.82596407441713
97,60,0,8,0,1,427.53226529059833,422.5303728494684,427.53226529059833
98,61,1,10,0,0,427.53226529059833,422.5303728494684,431.13716319919604
99,62,1,7,0,1,432.1095851470508,422.5303728494684,432.1095851470508
100,63,2,8,0,0,432.1095851470508,422.5303728494684,454.44286130894096
101,64,1,10,0,0,432.1095851470508,422.5303728494684,459.3692712581013
102,65,0,7,0,1,432.388234810097,422.5303728494684,432.388234810097
103,66,2,8,0,0,432.388234810097,422.5303728494684,442.99032641122494
104,67,0,8,0,1,430.688234810097,422.5303728494684,430.688234810097
105,67,0,9,1,0,430.688234810097,422.5303728494684,
106,68,1,7,0,0,430.688234810097,422.5303728494684,449.5806813460748
107,69,1,7,0,0,430.688234810097,422.5303728494684,457.9479209211475
108,70,2,7,0,1,430.87383174847,422.5303728494684,430.87383174847
109,71,2,9,0,1,430.688234810097,422.5303728494684,430.688234810097
110,71,0,7,1,0,430.688234810097,422.5303728494684,
111,72,1,9,0,0,430.688234810097,422.5303728494684,441.9487798141528
112,73,0,9,0,0,430.688234810097,422.5303728494684,434.68823481009696
113,73,1,7,1,0,430.688234810097,422.5303728494684,
114,74,2,7,0,1,423.9555015539041,422.5303728494684,423.9555015539041
115,74,0,10,1,0,423.9555015539041,422.5303728494684,
116,75,2,8,0,0,423.9555015539041,422.5303728494684,429.21693832780704
117,76,0,10,0,0,423.9555015539041,422.5303728494684,431.1313111512668
118,76,0,9,1,0,423.9555015539041,422.5303728494684,
119,76,0,8,1,0,423.9555015539041,422.5303728494684,
120,77,0,9,0,1,430.688234810097,422.5303728494684,430.688234810097
121,78,0,8,0,0,430.688234810097,422.5303728494684,436.688234810097
122,79,2,8,0,0,430.688234810097,422.5303728494684,432.388234810097
123,79,0,7,1,0,430.688234810097,422.5303728494684,
124,80,2,8,0,1,436.688234810097,422.5303728494684,436.688234810097
125,81,1,9,0,0,436.688234810097,422.5303728494684,463.94792092114756
126,82,0,8,0,1,431.81089283975507,422.5303728494684,431.81089283975507
127,82,2,8,1,0,431.81089283975507,422.5303728494684,
128,83,2,10,0,0,431.81089283975507,422.5303728494684,467.96652235835336
129,84,1,10,0,0,431.81089283975507,422.5303728494684,441.9943288587427
130,85,0,10,0,1,432.1108928397551,422.5303728494684,432.1108928397551
131,86,1,9,0,0,432.1108928397551,422.5303728494684,459.0121055370725
132,87,1,9,0,0,432.1108928397551,422.5303728494684,459.0121055370725
133,88,1,7,0,1,431.81089283975507,422.5303728494684,431.81089283975507
134,89,0,8,0,0,431.81089283975507,422.5303728494684,458.2384671317541
135,89,0,10,1,0,431.81089283975507,422.5303728494684,
136,90,0,9,0,0,431.81089283975507,422.5303728494684,452.93378638991976
137,91,2,8,0,1,431.6127397784084,422.5303728494684,431.6127397784084
138,92,2,8,0,0,431.6127397784084,422.5303728494684,444.3476463618431
139,92,2,9,1,0,431.6127397784084,422.5303728494684,
140,93,0,7,0,0,431.6127397784084,422.5303728494684,433.8900817487504
141,93,2,8,1,0,431.6127397784084,422.5303728494684,
142,94,1,9,0,0,431.6127397784084,422.5303728494684,458.51395247572583
143,95,2,8,0,0,431.6127397784084,422.5303728494684,438.7614967431014
144,96,2,9,0,1,431.81089283975507,422.5303728494684,431.81089283975507
145,97,1,7,0,0,431.81089283975507,422.5303728494684,458.7121055370725
146,98,2,7,0,0,431.81089283975507,422.5303728494684,434.174890170526
147,99,0,9,0,1,431.6127397784084,422.5303728494684,431.6127397784084
148,100,0,10,0,1,431.81089283975507,422.5303728494684,431.81089283975507
149,100,2,8,1,0,431.81089283975507,422.5303728494684,
150,101,1,7,0,0,431.81089283975507,422.5303728494684,458.7121055370725
151,102,1,7,0,0,431.81089283975507,422.5303728494684,441.016415435669
152,103,1,8,0,0,431.81089283975507,422.5303728494684,458.7121055370725
153,104,0,9,0,1,440.33466702650145,422.5303728494684,440.33466702650145
154,105,1,8,0,1,431.81089283975507,422.5303728494684,431.81089283975507
155,106,1,9,0,0,431.81089283975507,422.5303728494684,458.7121055370725
156,106,0,9,1,0,431.81089283975507,422.5303728494684,
157,107,1,10,0,0,431.81089283975507,422.5303728494684,458.7121055370725
158,108,0,9,0,0,431.81089283975507,422.5303728494684,445.03775777547196
159,108,0,8,1,0,431.81089283975507,422.5303728494684,
160,109,1,8,0,0,431.81089283975507,422.5303728494684,458.7121055370725
161,110,1,9,0,0,431.81089283975507,422.5303728494684,458.7121055370725
162,111,1,8,0,0,431.81089283975507,422.5303728494684,458.8121055370725
163,112,1,8,0,0,431.81089283975507,422.5303728494684,458.7121055370725
164,113,2,9,0,1,434.1108928397551,422.5303728494684,434.1108928397551
165,113,0,8,1,0,434.1108928397551,422.5303728494684,
166,114,1,9,0,1,431.81089283975507,422.5303728494684,431.81089283975507
167,115,2,9,0,0,431.81089283975507,422.5303728494684,458.6024302907794
168,116,1,9,0,0,431.81089283975507,422.5303728494684,458.7121055370725
169,117,1,7,0,0,431.81089283975507,422.5303728494684,458.7121055370725
