decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,1,8,1,0,498.8218216219997,498.8218216219997,
2,0,1,8,1,0,498.8218216219997,498.8218216219997,
3,0,1,8,1,0,498.8218216219997,498.8218216219997,
4,1,1,10,0,0,498.8218216219997,498.8218216219997,501.1218216219997
5,2,1,7,0,1,499.02182162199966,498.8218216219997,499.02182162199966
6,3,1,7,0,1,498.8218216219997,498.8218216219997,498.8218216219997
7,3,1,10,1,0,498.8218216219997,498.8218216219997,
8,4,0,8,0,1,492.11839595164463,492.11839595164463,492.11839595164463
9,5,2,10,0,1,482.43111894214206,482.43111894214206,482.43111894214206
10,6,1,9,0,0,482.43111894214206,482.43111894214206,508.34364860210246
11,7,2,7,0,0,482.43111894214206,482.43111894214206,560.5470616516477
12,8,0,7,0,0,482.43111894214206,482.43111894214206,502.8447832643559
13,9,2,9,0,1,493.5269095515307,482.43111894214206,493.5269095515307
14,10,2,9,0,0,493.5269095515307,482.43111894214206,534.3469903365633
15,11,1,8,0,1,487.6798652458481,482.43111894214206,487.6798652458481
16,12,2,7,0,0,487.6798652458481,482.43111894214206,505.23542930839125
17,13,1,10,0,1,482.43111894214206,482.43111894214206,482.43111894214206
18,14,1,7,0,0,482.43111894214206,482.43111894214206,569.6346167311051
19,15,1,8,0,0,482.43111894214206,482.43111894214206,487.6798652458481
20,16,1,9,0,0,482.43111894214206,482.43111894214206,506.9568322982023
21,17,1,7,0,1,487.65264325265747,482.43111894214206,487.65264325265747
22,18,2,9,0,1,482.43111894214206,482.43111894214206,482.43111894214206
23,19,1,9,0,0,482.43111894214206,482.43111894214206,508.34364860210246
24,20,1,9,0,1,482.63111894214205,482.43111894214206,482.63111894214205
25,21,1,9,0,0,482.63111894214205,482.43111894214206,546.8524682190869
26,22,2,8,0,1,487.85264325265746,482.43111894214206,487.85264325265746
27,22,0,8,1,0,487.85264325265746,482.43111894214206,
28,23,0,9,0,1,487.65264325265747,482.43111894214206,487.65264325265747
29,24,2,8,0,0,487.65264325265747,482.43111894214206,571.3935105413831
30,24,2,7,1,0,487.65264325265747,482.43111894214206,
31,25,0,8,0,0,487.65264325265747,482.43111894214206,518.3887114625282
32,26,2,10,0,0,487.65264325265747,482.43111894214206,551.193751060609
33,27,2,10,0,0,487.65264325265747,482.43111894214206,505.054545808352
34,27,1,9,1,0,487.65264325265747,482.43111894214206,
35,28,0,7,0,1,493.44659469056637,482.43111894214206,493.44659469056637
36,29,0,8,0,1,486.0311189421421,482.43111894214206,486.0311189421421
37,30,0,8,0,1,487.65264325265747,482.43111894214206,487.65264325265747
38,31,1,9,0,0,487.65264325265747,482.43111894214206,569.6346167311051
39,32,0,7,0,0,487.65264325265747,482.43111894214206,518.3887114625282
40,33,2,10,0,0,487.65264325265747,482.43111894214206,554.7903880465617
41,33,1,10,1,0,487.65264325265747,482.43111894214206,
42,34,2,10,0,0,487.65264325265747,482.43111894214206,507.303450552531
43,35,0,9,0,0,487.65264325265747,482.43111894214206,512.5768464716866
44,36,2,8,0,0,487.65264325265747,482.43111894214206,587.0332489532088
45,37,2,9,0,0,487.65264325265747,482.43111894214206,599.0966370974845
46,38,2,10,0,1,484.03510509886826,482.43111894214206,484.03510509886826
47,39,2,10,0,1,489.09846409344436,482.43111894214206,489.09846409344436
48,40,0,9,0,1,490.4508123357748,482.43111894214206,490.4508123357748
49,41,1,9,0,0,490.4508123357748,482.43111894214206,577.9764298089272
50,42,1,8,0,1,489.3508123357748,482.43111894214206,489.3508123357748
51,43,1,8,0,0,489.3508123357748,482.43111894214206,501.65081233577484
52,44,2,8,0,0,489.3508123357748,482.43111894214206,556.6978528410604
53,45,0,9,0,1,487.6508123357748,482.43111894214206,487.6508123357748
54,46,1,9,0,0,487.6508123357748,482.43111894214206,547.9832204933925
55,46,1,8,1,0,487.6508123357748,482.43111894214206,
56,46,0,7,1,0,487.6508123357748,482.43111894214206,
57,47,2,10,0,0,487.6508123357748,482.43111894214206,494.82060795029207
58,48,2,9,0,0,487.6508123357748,482.43111894214206,491.8526432526575
59,49,2,8,0,0,487.6508123357748,482.43111894214206,498.2797061660753
60,50,0,10,0,0,487.6508123357748,482.43111894214206,558.042619970962
61,51,1,7,0,0,487.6508123357748,482.43111894214206,547.9832204933925
62,52,1,8,0,0,487.6508123357748,482.43111894214206,492.71417133035095
63,53,0,8,0,0,487.6508123357748,482.43111894214206,529.3383207011735
64,54,0,8,0,0,487.6508123357748,482.43111894214206,520.5378340701341
65,55,0,9,0,0,487.6508123357748,482.43111894214206,547.9832204933925
66,56,2,9,0,0,487.6508123357748,482.43111894214206,496.97518594296383
67,57,1,8,0,0,487.6508123357748,482.43111894214206,503.2271515165713
68,57,2,7,1,0,487.6508123357748,482.43111894214206,
69,58,1,9,0,0,487.6508123357748,482.43111894214206,560.7774552544302
70,59,1,10,0,0,487.6508123357748,482.43111894214206,529.3383207011735
71,60,1,9,0,0,487.6508123357748,482.43111894214206,560.7774552544302
72,60,0,8,1,0,487.6508123357748,482.43111894214206,
73,61,2,8,0,1,493.5810189858733,482.43111894214206,493.5810189858733
74,62,2,10,0,1,482.4718018782592,482.43111894214206,482.4718018782592
75,63,0,7,0,1,478.5563862244973,478.5563862244973,478.5563862244973
76,64,0,8,0,0,478.5563862244973,478.5563862244973,486.121753669895
77,64,0,8,1,0,478.5563862244973,478.5563862244973,
78,64,2,7,1,0,478.5563862244973,478.5563862244973,
79,65,1,8,0,0,478.5563862244973,478.5563862244973,524.757463172748
80,66,0,7,0,1,466.95661090626584,466.95661090626584,466.95661090626584
81,67,0,10,0,0,466.95661090626584,466.95661090626584,499.3190376489738
82,68,0,7,0,1,468.28843053025065,466.95661090626584,468.28843053025065
83,69,1,9,0,0,468.28843053025065,466.95661090626584,540.4060868222416
84,70,1,8,0,0,468.28843053025065,466.95661090626584,540.4060868222416
85,71,1,9,0,0,468.28843053025065,466.95661090626584,520.3783843526218
86,72,2,9,0,0,468.28843053025065,466.95661090626584,535.2263596052636
87,73,0,7,0,0,468.28843053025065,466.95661090626584,489.984883186375
