decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,1,8,1,0,498.8218216219997,498.8218216219997,
2,0,2,8,1,0,498.8218216219997,498.8218216219997,
3,1,1,10,0,0,498.8218216219997,498.8218216219997,507.303450552531
4,2,1,10,0,0,498.8218216219997,498.8218216219997,543.9857848640412
5,3,1,10,0,1,499.02182162199966,498.8218216219997,499.02182162199966
6,4,1,8,0,0,499.02182162199966,498.8218216219997,514.831484735287
7,5,1,7,0,1,498.8218216219997,498.8218216219997,498.8218216219997
8,6,0,10,0,1,498.6021886868099,498.6021886868099,498.6021886868099
9,7,2,10,0,0,498.6021886868099,498.6021886868099,561.7175512667926
10,7,1,7,1,0,498.6021886868099,498.6021886868099,
11,8,2,8,0,1,498.8218216219997,498.6021886868099,498.8218216219997
12,8,0,9,1,0,498.8218216219997,498.6021886868099,
13,9,2,8,0,0,498.8218216219997,498.6021886868099,516.757631837032
14,9,2,8,1,0,498.8218216219997,498.6021886868099,
15,9,1,8,1,0,498.8218216219997,498.6021886868099,
16,10,2,8,0,1,516.757631837032,498.6021886868099,516.757631837032
17,10,1,7,1,0,516.757631837032,498.6021886868099,
18,11,1,10,0,1,498.8218216219997,498.6021886868099,498.8218216219997
19,12,1,7,0,1,499.02182162199966,498.6021886868099,499.02182162199966
20,13,1,9,0,1,498.8218216219997,498.6021886868099,498.8218216219997
21,14,1,8,0,1,499.02182162199966,498.6021886868099,499.02182162199966
22,15,2,9,0,1,501.0289045053414,498.6021886868099,501.0289045053414
23,16,1,9,0,1,499.02182162199966,498.6021886868099,499.02182162199966
24,17,1,9,0,0,499.02182162199966,498.6021886868099,534.5392189589056
25,18,1,9,0,1,479.7286221820106,479.7286221820106,479.7286221820106
26,19,2,9,0,1,490.43477709043816,479.7286221820106,490.43477709043816
27,20,0,10,0,0,490.43477709043816,479.7286221820106,556.458650003281
28,21,0,8,0,0,490.43477709043816,479.7286221820106,516.9304785722576
29,22,2,8,0,0,490.43477709043816,479.7286221820106,576.2529845687991
30,23,2,9,0,0,490.43477709043816,479.7286221820106,529.740265275677
31,23,0,8,1,0,490.43477709043816,479.7286221820106,
32,24,2,8,0,0,490.43477709043816,479.7286221820106,496.77162912356414
33,25,2,9,0,0,490.43477709043816,479.7286221820106,512.3497206484487
34,26,1,7,0,1,488.01078915304174,479.7286221820106,488.01078915304174
35,27,0,7,0,0,488.01078915304174,479.7286221820106,562.6611883933579
36,28,0,10,0,0,488.01078915304174,479.7286221820106,514.211718688118
37,29,0,8,0,1,484.98212169511714,479.7286221820106,484.98212169511714
38,30,1,10,0,0,484.98212169511714,479.7286221820106,525.9796323483699
39,31,0,9,0,1,465.8486278204461,465.8486278204461,465.8486278204461
40,32,2,8,0,1,461.13609424605636,461.13609424605636,461.13609424605636
41,33,2,7,0,0,461.13609424605636,461.13609424605636,491.5674939562775
42,34,2,10,0,0,461.13609424605636,461.13609424605636,527.4032259755828
43,35,0,9,0,0,461.13609424605636,461.13609424605636,472.5369313831192
44,36,2,7,0,1,459.67154336646075,459.67154336646075,459.67154336646075
45,37,2,10,0,0,459.67154336646075,459.67154336646075,474.97191844889045
46,38,2,8,0,1,460.33609424605635,459.67154336646075,460.33609424605635
47,38,2,9,1,0,460.33609424605635,459.67154336646075,
48,39,0,9,0,1,454.4360942460564,454.4360942460564,454.4360942460564
49,40,1,9,0,0,454.4360942460564,454.4360942460564,467.6704402639484
50,41,1,8,0,0,454.4360942460564,454.4360942460564,467.6704402639484
51,42,1,7,0,1,452.1360942460564,452.1360942460564,452.1360942460564
52,43,2,8,0,0,452.1360942460564,452.1360942460564,500.54319339406186
53,44,0,10,0,0,452.1360942460564,452.1360942460564,487.88308482035814
54,45,1,9,0,0,452.1360942460564,452.1360942460564,465.3704402639484
55,46,1,9,0,1,447.5611194020143,447.5611194020143,447.5611194020143
56,47,0,7,0,0,447.5611194020143,447.5611194020143,482.3251262069806
57,48,2,9,0,0,447.5611194020143,447.5611194020143,472.7557433788191
58,49,2,9,0,0,447.5611194020143,447.5611194020143,458.1624841578612
59,50,2,10,0,0,447.5611194020143,447.5611194020143,460.22534070589217
60,51,0,8,0,0,447.5611194020143,447.5611194020143,472.7557433788191
61,52,1,10,0,0,447.5611194020143,447.5611194020143,545.1592876324438
62,53,1,9,0,0,447.5611194020143,447.5611194020143,447.7611194020143
63,54,0,9,0,0,447.5611194020143,447.5611194020143,465.71012382600446
64,55,0,8,0,0,447.5611194020143,447.5611194020143,482.3251262069806
65,56,0,9,0,0,447.5611194020143,447.5611194020143,472.7557433788191
66,57,2,8,0,0,447.5611194020143,447.5611194020143,497.97570960757025
67,58,1,7,0,1,451.70389206823705,447.5611194020143,451.70389206823705
68,58,2,8,1,0,451.70389206823705,447.5611194020143,
69,59,1,9,0,0,451.70389206823705,447.5611194020143,485.9653350404781
70,60,1,9,0,0,451.70389206823705,447.5611194020143,462.0037481784464
71,61,0,8,0,0,451.70389206823705,447.5611194020143,472.3535663024768
72,62,0,7,0,1,438.90217087429403,438.90217087429403,438.90217087429403
73,63,2,8,0,0,438.90217087429403,438.90217087429403,442.1021708742941
74,64,2,9,0,1,439.90217087429403,438.90217087429403,439.90217087429403
75,65,0,9,0,0,439.90217087429403,438.90217087429403,462.09609112226656
76,66,0,7,0,1,426.834595800557,426.834595800557,426.834595800557
77,67,0,7,0,1,425.6955126347975,425.6955126347975,425.6955126347975
78,68,2,7,0,0,425.6955126347975,425.6955126347975,427.87921765793214
79,69,1,9,0,0,425.6955126347975,425.6955126347975,442.6770220719546
80,70,0,8,0,0,425.6955126347975,425.6955126347975,444.5067207785216
81,71,0,8,0,0,425.6955126347975,425.6955126347975,483.1645999247681
82,72,0,7,0,0,425.6955126347975,425.6955126347975,444.5067207785216
83,73,2,8,0,0,425.6955126347975,425.6955126347975,482.9538128061326
84,74,1,7,0,1,425.4955126347974,425.4955126347974,425.4955126347974
85,75,1,8,0,1,423.89551263479746,423.89551263479746,423.89551263479746
86,76,2,7,0,0,423.89551263479746,423.89551263479746,485.25381280613266
87,77,0,9,0,0,423.89551263479746,423.89551263479746,515.2830457744958
88,78,0,9,0,0,423.89551263479746,423.89551263479746,470.3451282870714
89,78,0,10,1,0,423.89551263479746,423.89551263479746,
90,79,0,10,0,0,423.89551263479746,423.89551263479746,470.3451282870714
91,80,0,9,0,0,423.89551263479746,423.89551263479746,436.97773795406573
92,81,1,8,0,0,423.89551263479746,423.89551263479746,481.3538128061326
93,82,0,7,0,0,423.89551263479746,423.89551263479746,474.78601970668035
94,83,0,7,0,0,423.89551263479746,423.89551263479746,440.77702207195455
95,84,2,9,0,0,423.89551263479746,423.89551263479746,470.2451282870714
96,85,2,10,0,0,423.89551263479746,423.89551263479746,440.77702207195455
97,86,0,7,0,0,423.89551263479746,423.89551263479746,481.3538128061326
98,87,1,8,0,0,423.89551263479746,423.89551263479746,470.3451282870714
99,88,1,9,0,0,423.89551263479746,423.89551263479746,481.3538128061326
100,89,1,8,0,0,423.89551263479746,423.89551263479746,440.77702207195455
101,90,2,9,0,0,423.89551263479746,423.89551263479746,470.2451282870714
102,91,2,8,0,0,423.89551263479746,423.89551263479746,434.17705878392155
103,92,2,9,0,0,423.89551263479746,423.89551263479746,444.0412318943096
104,93,2,8,0,0,423.89551263479746,423.89551263479746,440.77702207195455
105,94,2,8,0,0,423.89551263479746,423.89551263479746,462.19649653084866
106,95,2,10,0,0,423.89551263479746,423.89551263479746,470.3451282870714
107,96,0,9,0,0,423.89551263479746,423.89551263479746,435.2562899791295
108,97,0,7,0,0,423.89551263479746,423.89551263479746,440.77702207195455
109,98,0,10,0,0,423.89551263479746,423.89551263479746,478.5721809966756
110,99,0,8,0,0,423.89551263479746,423.89551263479746,511.61505339362304
111,100,0,8,0,0,423.89551263479746,423.89551263479746,481.3538128061326
112,101,2,7,0,0,423.89551263479746,423.89551263479746,438.79634065275803
113,102,1,10,0,0,423.89551263479746,423.89551263479746,451.1514000272941
114,103,2,8,0,0,423.89551263479746,423.89551263479746,481.364599924768
115,104,2,9,0,0,423.89551263479746,423.89551263479746,465.53277323006256
116,105,1,9,0,0,423.89551263479746,423.89551263479746,440.77702207195455
117,106,0,9,0,0,423.89551263479746,423.89551263479746,481.3538128061326
118,107,1,7,0,0,423.89551263479746,423.89551263479746,456.2592713714734
119,108,2,7,0,0,423.89551263479746,423.89551263479746,440.77702207195455
120,109,0,7,0,0,423.89551263479746,423.89551263479746,440.77702207195455
121,110,2,8,0,0,423.89551263479746,423.89551263479746,477.6285936413099
122,111,1,7,0,0,423.89551263479746,423.89551263479746,436.2030450732198
123,112,1,10,0,0,423.89551263479746,423.89551263479746,478.94780714891544
124,113,2,8,0,0,423.89551263479746,423.89551263479746,479.3465032413265
125,114,1,7,0,0,423.89551263479746,423.89551263479746,470.3451282870714
126,115,2,9,0,1,424.0955126347975,423.89551263479746,424.0955126347975
127,116,1,9,0,0,424.0955126347975,423.89551263479746,481.3538128061326
128,117,1,8,0,0,424.0955126347975,423.89551263479746,425.83459580055694
129,118,1,7,0,0,424.0955126347975,423.89551263479746,474.2298633538898
130,119,2,7,0,0,424.0955126347975,423.89551263479746,470.44512828707144
131,120,1,8,0,0,424.0955126347975,423.89551263479746,446.9581242288872
132,121,0,9,0,0,424.0955126347975,423.89551263479746,488.26228328241467
