decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,11,0,0,469.3769334999132,441.2766427317384,441.2766427317384
2,2,2,10,0,1,411.90234072559724,411.90234072559724,411.90234072559724
3,3,2,7,0,0,457.079377880728,411.90234072559724,411.90234072559724
4,4,2,9,0,0,457.1242417458289,411.90234072559724,411.90234072559724
5,5,2,10,0,1,411.80234072559716,411.80234072559716,411.80234072559716
6,6,2,9,0,0,459.1488371292664,411.80234072559716,411.80234072559716
7,7,2,7,0,0,449.9508569187488,411.80234072559716,411.80234072559716
8,8,2,10,0,1,411.90234072559724,411.90234072559724,411.80234072559716
9,9,1,8,0,0,457.079377880728,411.90234072559724,411.80234072559716
10,10,2,10,0,1,411.80234072559716,411.80234072559716,411.80234072559716
11,11,2,10,0,1,411.9023407255972,411.9023407255972,411.80234072559716
12,12,1,9,0,0,450.0508569187488,411.9023407255972,411.80234072559716
13,13,2,8,0,1,411.80234072559716,411.80234072559716,411.80234072559716
14,14,2,10,0,0,441.1766427317383,411.80234072559716,411.80234072559716
15,15,2,9,0,1,411.80234072559716,411.80234072559716,411.80234072559716
16,16,0,10,0,1,411.80234072559716,411.80234072559716,411.80234072559716
17,16,1,10,1,0,,411.80234072559716,411.80234072559716
18,17,0,8,0,0,460.5793778807279,411.80234072559716,411.80234072559716
19,18,0,9,0,0,439.99924064562623,411.80234072559716,411.80234072559716
20,19,2,10,0,0,441.1766427317383,411.80234072559716,411.80234072559716
21,20,1,10,0,0,430.70234072559714,411.80234072559716,411.80234072559716
22,21,1,9,0,0,441.1766427317383,411.80234072559716,411.80234072559716
23,22,1,10,0,0,441.1766427317383,411.80234072559716,411.80234072559716
24,23,2,7,0,0,413.7823485529874,411.80234072559716,411.80234072559716
25,23,0,10,1,0,,411.80234072559716,411.80234072559716
26,24,2,9,0,0,444.3711428493504,411.80234072559716,411.80234072559716
27,25,1,8,0,0,428.07515632998553,411.80234072559716,411.80234072559716
28,26,0,10,0,0,442.2353249231835,411.80234072559716,411.80234072559716
29,27,2,10,0,1,411.80234072559716,411.80234072559716,411.80234072559716
30,27,1,9,1,0,,411.80234072559716,411.80234072559716
31,28,2,9,0,1,412.30234072559716,412.30234072559716,411.80234072559716
32,29,0,10,0,0,441.6766427317383,412.30234072559716,411.80234072559716
33,30,2,7,0,0,430.6023407255972,412.30234072559716,411.80234072559716
34,30,1,9,1,0,,412.30234072559716,411.80234072559716
35,31,1,10,0,1,414.2432631572702,414.2432631572702,411.80234072559716
36,32,0,10,0,1,414.2432631572702,414.2432631572702,411.80234072559716
37,33,1,10,0,1,412.30234072559716,412.30234072559716,411.80234072559716
38,34,0,10,0,0,441.6766427317383,412.30234072559716,411.80234072559716
39,34,2,8,1,0,,412.30234072559716,411.80234072559716
40,35,0,9,0,0,434.03066943668824,412.30234072559716,411.80234072559716
41,36,2,8,0,0,430.7023407255972,412.30234072559716,411.80234072559716
42,37,2,9,0,0,455.855585259559,412.30234072559716,411.80234072559716
43,38,0,8,0,0,464.15204801822205,412.30234072559716,411.80234072559716
44,39,1,8,0,0,441.6766427317383,412.30234072559716,411.80234072559716
45,40,0,9,0,1,412.30234072559716,412.30234072559716,411.80234072559716
46,41,2,8,0,1,412.4023407255972,412.4023407255972,411.80234072559716
47,42,0,8,0,1,412.4023407255972,412.4023407255972,411.80234072559716
48,43,1,8,0,1,411.80234072559716,411.80234072559716,411.80234072559716
49,44,2,8,0,1,411.80234072559716,411.80234072559716,411.80234072559716
50,45,1,8,0,0,428.07515632998553,411.80234072559716,411.80234072559716
51,46,0,9,0,0,430.70234072559714,411.80234072559716,411.80234072559716
52,47,1,10,0,0,473.2318607731089,411.80234072559716,411.80234072559716
53,48,2,7,0,1,411.80234072559716,411.80234072559716,411.80234072559716
54,49,0,10,0,1,411.80234072559716,411.80234072559716,411.80234072559716
55,50,0,11,0,0,449.9508569187488,411.80234072559716,411.80234072559716
56,51,0,8,0,0,445.44721626132224,411.80234072559716,411.80234072559716
57,51,1,8,1,0,,411.80234072559716,411.80234072559716
58,52,2,9,0,1,408.90936222210854,408.90936222210854,408.90936222210854
59,53,0,8,0,1,408.90936222210854,408.90936222210854,408.90936222210854
60,54,0,10,0,0,433.4093622221085,408.90936222210854,408.90936222210854
61,55,2,10,0,0,411.80234072559716,408.90936222210854,408.90936222210854
62,56,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
63,57,2,10,0,0,465.3664825450249,411.80234072559716,408.90936222210854
64,58,1,10,0,0,430.80234072559716,411.80234072559716,408.90936222210854
65,59,0,9,0,0,425.6981458898505,411.80234072559716,408.90936222210854
66,60,2,9,0,1,413.7823485529874,413.7823485529874,408.90936222210854
67,61,2,9,0,0,440.19924064562616,413.7823485529874,408.90936222210854
68,62,1,8,0,0,440.19924064562616,413.7823485529874,408.90936222210854
69,63,1,9,0,0,440.19924064562616,413.7823485529874,408.90936222210854
70,64,0,9,0,0,443.7144398639901,413.7823485529874,408.90936222210854
