decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,0,12,0,0,552.9204350569995,487.8072587360499,487.8072587360499
2,2,0,10,0,0,531.0706809839049,487.8072587360499,487.8072587360499
3,3,0,9,0,1,487.8072587360499,487.8072587360499,487.8072587360499
4,3,1,9,1,0,,487.8072587360499,487.8072587360499
5,4,2,9,0,1,482.85247101119637,482.85247101119637,482.85247101119637
6,5,2,10,0,0,489.2539047566214,482.85247101119637,482.85247101119637
7,6,1,10,0,1,482.85247101119637,482.85247101119637,482.85247101119637
8,7,1,8,0,0,487.8072587360499,482.85247101119637,482.85247101119637
9,8,1,10,0,0,519.4072587360499,482.85247101119637,482.85247101119637
10,9,0,10,0,1,483.15247101119644,483.15247101119644,482.85247101119637
11,9,0,8,1,0,,483.15247101119644,482.85247101119637
12,10,1,8,0,0,488.10725873604986,483.15247101119644,482.85247101119637
13,11,0,9,0,1,487.9524710111964,487.9524710111964,482.85247101119637
14,12,0,11,0,0,492.9072587360498,487.9524710111964,482.85247101119637
15,13,0,9,0,0,505.93876763155515,487.9524710111964,482.85247101119637
16,14,0,11,0,1,488.6955600464139,488.6955600464139,482.85247101119637
17,15,1,11,0,1,485.7372406986658,485.7372406986658,482.85247101119637
18,16,0,10,0,0,504.49556004641386,485.7372406986658,482.85247101119637
19,17,2,9,0,0,494.35713269340044,485.7372406986658,482.85247101119637
20,18,0,11,0,1,480.1571326934005,480.1571326934005,480.1571326934005
21,19,2,11,0,1,480.1571326934005,480.1571326934005,480.1571326934005
22,20,0,9,0,1,487.9072587360499,487.9072587360499,480.1571326934005
23,21,0,11,0,0,497.16136084827855,487.9072587360499,480.1571326934005
24,22,0,10,0,0,497.2613608482786,487.9072587360499,480.1571326934005
25,23,1,12,0,1,487.8072587360499,487.8072587360499,480.1571326934005
26,24,1,9,0,1,475.09514264537313,475.09514264537313,475.09514264537313
27,25,2,8,0,0,509.3483067554765,475.09514264537313,475.09514264537313
28,26,1,11,0,0,487.52644611290856,475.09514264537313,475.09514264537313
29,27,1,11,0,0,500.98481289359654,475.09514264537313,475.09514264537313
30,28,0,11,0,1,474.69514264537315,474.69514264537315,474.69514264537315
31,29,1,9,0,1,469.92590940671846,469.92590940671846,469.92590940671846
32,30,2,9,0,0,652.6105784295783,469.92590940671846,469.92590940671846
33,31,1,10,0,1,469.62590940671845,469.62590940671845,469.62590940671845
34,32,0,12,0,1,443.95888512820306,443.95888512820306,443.95888512820306
35,33,2,11,0,1,445.2588851282031,445.2588851282031,443.95888512820306
36,34,2,11,0,1,436.12202832289285,436.12202832289285,436.12202832289285
37,35,2,10,0,1,436.4220283228928,436.4220283228928,436.12202832289285
38,36,1,11,0,0,484.7369858798528,436.4220283228928,436.12202832289285
39,37,1,9,0,0,485.33483749532235,436.4220283228928,436.12202832289285
40,38,1,8,0,0,484.7369858798528,436.4220283228928,436.12202832289285
41,39,1,10,0,0,444.98736756824616,436.4220283228928,436.12202832289285
42,40,2,10,0,1,436.1220283228928,436.1220283228928,436.1220283228928
43,40,0,12,1,0,,436.1220283228928,436.1220283228928
44,41,1,8,0,0,515.788273587284,436.1220283228928,436.1220283228928
45,42,2,11,0,1,433.82202832289283,433.82202832289283,433.82202832289283
46,43,0,8,0,1,432.5220283228928,432.5220283228928,432.5220283228928
47,44,2,9,0,0,440.3600372263347,432.5220283228928,432.5220283228928
48,45,2,10,0,0,465.5498461060728,432.5220283228928,432.5220283228928
49,46,2,10,0,0,442.8271529715449,432.5220283228928,432.5220283228928
50,47,2,8,0,0,448.0130091245815,432.5220283228928,432.5220283228928
51,48,1,8,0,0,703.5704999984864,432.5220283228928,432.5220283228928
52,49,2,10,0,0,448.0130091245815,432.5220283228928,432.5220283228928
53,50,1,8,0,0,450.31300912458147,432.5220283228928,432.5220283228928
54,51,2,8,0,0,467.4112852329617,432.5220283228928,432.5220283228928
55,52,1,12,0,0,480.1824060662031,432.5220283228928,432.5220283228928
56,53,0,9,0,0,448.0130091245815,432.5220283228928,432.5220283228928
57,54,1,11,0,0,442.8271529715449,432.5220283228928,432.5220283228928
58,55,0,8,0,0,441.6510208405015,432.5220283228928,432.5220283228928
59,56,0,11,0,0,448.0130091245815,432.5220283228928,432.5220283228928
60,57,1,9,0,0,448.0130091245815,432.5220283228928,432.5220283228928
61,58,1,11,0,0,448.0130091245815,432.5220283228928,432.5220283228928
62,59,1,10,0,0,471.22202832289287,432.5220283228928,432.5220283228928
63,60,2,8,0,0,440.0209068291737,432.5220283228928,432.5220283228928
64,61,0,10,0,1,432.3220283228928,432.3220283228928,432.3220283228928
65,62,0,12,0,0,447.81300912458147,432.3220283228928,432.3220283228928
66,63,1,9,0,0,475.45138557556334,432.3220283228928,432.3220283228928
67,64,0,9,0,0,444.5513855755634,432.3220283228928,432.3220283228928
68,65,0,10,0,0,444.61777618118765,432.3220283228928,432.3220283228928
69,66,1,11,0,0,464.48100352139863,432.3220283228928,432.3220283228928
70,66,0,9,1,0,,432.3220283228928,432.3220283228928
71,67,1,12,0,0,447.91300912458144,432.3220283228928,432.3220283228928
72,68,0,11,0,0,467.51300912458146,432.3220283228928,432.3220283228928
73,69,0,11,0,0,444.61777618118765,432.3220283228928,432.3220283228928
74,70,1,9,0,0,439.8209068291737,432.3220283228928,432.3220283228928
75,71,2,10,0,0,448.1130091245814,432.3220283228928,432.3220283228928
76,72,0,11,0,1,432.42202832289286,432.42202832289286,432.3220283228928
77,73,0,9,0,1,432.3220283228928,432.3220283228928,432.3220283228928
78,74,2,12,0,0,465.34984610607273,432.3220283228928,432.3220283228928
79,75,2,10,0,0,447.81300912458147,432.3220283228928,432.3220283228928
80,76,2,10,0,0,479.17468063050785,432.3220283228928,432.3220283228928
81,77,1,10,0,0,444.45138557556334,432.3220283228928,432.3220283228928
82,78,0,10,0,0,444.45138557556334,432.3220283228928,432.3220283228928
83,79,0,9,0,0,453.5003606635564,432.3220283228928,432.3220283228928
84,80,2,10,0,0,444.45138557556334,432.3220283228928,432.3220283228928
85,81,0,8,0,1,435.6220283228928,435.6220283228928,432.3220283228928
86,82,2,8,0,0,447.91777618118766,435.6220283228928,432.3220283228928
87,83,2,12,0,1,435.5220283228928,435.5220283228928,432.3220283228928
88,84,0,9,0,1,435.4220283228928,435.4220283228928,432.3220283228928
89,85,0,11,0,0,450.9130091245815,435.4220283228928,432.3220283228928
90,86,2,10,0,0,450.31300912458147,435.4220283228928,432.3220283228928
91,87,2,8,0,0,447.5873675682462,435.4220283228928,432.3220283228928
92,88,1,10,0,0,508.83696863905527,435.4220283228928,432.3220283228928
93,89,1,11,0,0,521.1877172659457,435.4220283228928,432.3220283228928
94,90,1,10,0,1,435.2220283228928,435.2220283228928,432.3220283228928
95,91,2,10,0,0,447.3873675682462,435.2220283228928,432.3220283228928
96,92,1,12,0,0,459.60987629988296,435.2220283228928,432.3220283228928
97,93,2,11,0,0,520.9877172659457,435.2220283228928,432.3220283228928
98,94,1,9,0,0,505.9474283242572,435.2220283228928,432.3220283228928
99,95,1,9,0,0,483.61354918936854,435.2220283228928,432.3220283228928
100,96,0,11,0,0,477.41516946953806,435.2220283228928,432.3220283228928
101,97,2,9,0,0,450.41300912458155,435.2220283228928,432.3220283228928
102,98,0,8,0,0,450.7130091245815,435.2220283228928,432.3220283228928
103,99,1,9,0,0,489.8686295121196,435.2220283228928,432.3220283228928
104,100,1,10,0,1,434.92202832289286,434.92202832289286,432.3220283228928
105,101,1,9,0,0,489.8686295121196,434.92202832289286,432.3220283228928
106,102,0,10,0,1,434.82202832289283,434.82202832289283,432.3220283228928
107,103,0,10,0,1,432.7220283228929,432.7220283228929,432.3220283228928
108,104,1,10,0,1,432.7220283228929,432.7220283228929,432.3220283228928
109,105,2,10,0,0,480.85240857012514,432.7220283228929,432.3220283228928
110,106,0,9,0,1,432.7220283228929,432.7220283228929,432.3220283228928
111,107,2,12,0,0,472.54460527025105,432.7220283228929,432.3220283228928
112,108,1,11,0,1,432.7220283228929,432.7220283228929,432.3220283228928
113,109,1,9,0,1,434.02202832289294,434.02202832289294,432.3220283228928
114,110,2,9,0,1,432.7220283228929,432.7220283228929,432.3220283228928
115,111,1,11,0,0,462.8157197690423,432.7220283228929,432.3220283228928
116,112,2,9,0,0,439.1715562435001,432.7220283228929,432.3220283228928
117,113,2,12,0,1,432.5220283228928,432.5220283228928,432.3220283228928
118,114,2,10,0,0,448.01644168726733,432.5220283228928,432.3220283228928
119,115,1,11,0,0,448.0130091245815,432.5220283228928,432.3220283228928
120,116,2,10,0,0,476.2564612389044,432.5220283228928,432.3220283228928
121,117,2,9,0,0,448.0130091245815,432.5220283228928,432.3220283228928
122,118,1,8,0,0,448.0130091245815,432.5220283228928,432.3220283228928
123,119,0,10,0,0,446.11571976904224,432.5220283228928,432.3220283228928
124,120,0,8,0,0,448.0130091245815,432.5220283228928,432.3220283228928
125,121,1,11,0,0,448.0130091245815,432.5220283228928,432.3220283228928
126,122,2,9,0,1,414.93319346436493,414.93319346436493,414.93319346436493
127,123,1,8,0,0,439.57837789638324,414.93319346436493,414.93319346436493
128,124,2,9,0,0,443.6209068291737,414.93319346436493,414.93319346436493
129,125,2,12,0,0,440.0209068291738,414.93319346436493,414.93319346436493
130,126,2,9,0,0,543.6153499773384,414.93319346436493,414.93319346436493
131,127,1,9,0,0,443.6209068291737,414.93319346436493,414.93319346436493
132,128,1,9,0,0,453.9649361751972,414.93319346436493,414.93319346436493
133,129,1,12,0,0,453.9491865240859,414.93319346436493,414.93319346436493
134,130,2,8,0,1,415.23319346436494,415.23319346436494,414.93319346436493
135,131,2,11,0,0,449.9208938482281,415.23319346436494,414.93319346436493
136,132,0,8,0,0,443.9209068291737,415.23319346436494,414.93319346436493
137,133,2,10,0,1,415.23319346436494,415.23319346436494,414.93319346436493
138,134,0,11,0,1,414.93319346436493,414.93319346436493,414.93319346436493
139,135,0,11,0,0,436.22202832289275,414.93319346436493,414.93319346436493
140,136,1,10,0,0,448.18736756824615,414.93319346436493,414.93319346436493
141,137,2,11,0,1,414.93319346436493,414.93319346436493,414.93319346436493
142,138,0,10,0,0,449.6208938482281,414.93319346436493,414.93319346436493
143,139,2,9,0,0,454.68633869795696,414.93319346436493,414.93319346436493
144,140,2,11,0,0,443.3578655786376,414.93319346436493,414.93319346436493
145,140,0,8,1,0,,414.93319346436493,414.93319346436493
146,141,1,9,0,0,439.55102084050145,414.93319346436493,414.93319346436493
147,142,1,9,0,0,439.55102084050145,414.93319346436493,414.93319346436493
148,143,2,9,0,0,436.22202832289275,414.93319346436493,414.93319346436493
149,144,0,11,0,0,436.02202832289277,414.93319346436493,414.93319346436493
150,145,1,10,0,0,483.65441312217376,414.93319346436493,414.93319346436493
151,146,0,12,0,0,445.02090682917367,414.93319346436493,414.93319346436493
152,147,0,8,0,0,454.47648556141115,414.93319346436493,414.93319346436493
153,148,0,10,0,0,442.1510208405015,414.93319346436493,414.93319346436493
154,149,2,11,0,0,462.1915591021189,414.93319346436493,414.93319346436493
155,150,1,11,0,1,414.73319346436494,414.73319346436494,414.73319346436494
156,151,2,11,0,0,441.5209068291736,414.73319346436494,414.73319346436494
157,152,1,10,0,0,438.1510208405015,414.73319346436494,414.73319346436494
158,153,0,9,0,0,436.02202832289277,414.73319346436494,414.73319346436494
159,154,0,10,0,0,439.85102084050146,414.73319346436494,414.73319346436494
160,155,1,9,0,0,494.9621553158052,414.73319346436494,414.73319346436494
161,156,1,10,0,0,448.21300912458145,414.73319346436494,414.73319346436494
162,157,0,12,0,1,419.83319346436497,419.83319346436497,414.73319346436494
163,158,2,9,0,1,419.8331934643649,419.8331934643649,414.73319346436494
164,159,0,9,0,0,444.65102084050136,419.8331934643649,414.73319346436494
165,160,0,10,0,0,531.7433611423637,419.8331934643649,414.73319346436494
166,161,2,9,0,0,446.7510208405014,419.8331934643649,414.73319346436494
167,162,1,11,0,0,506.16606204909556,419.8331934643649,414.73319346436494
168,163,2,11,0,0,444.65102084050136,419.8331934643649,414.73319346436494
169,164,2,10,0,1,418.23319346436506,418.23319346436506,414.73319346436494
170,165,0,9,0,1,414.93319346436505,414.93319346436505,414.73319346436494
171,166,0,11,0,1,414.93319346436505,414.93319346436505,414.73319346436494
172,167,2,10,0,0,431.3993247711392,414.93319346436505,414.73319346436494
173,168,1,9,0,0,439.25102084050155,414.93319346436505,414.73319346436494
174,169,1,9,0,0,440.3209068291737,414.93319346436505,414.73319346436494
175,170,2,9,0,0,432.93104923791907,414.93319346436505,414.73319346436494
176,171,2,10,0,0,451.8340640402849,414.93319346436505,414.73319346436494
177,172,0,10,0,1,414.63319346436504,414.63319346436504,414.63319346436504
178,173,0,12,0,0,438.40992231030174,414.63319346436504,414.63319346436504
179,174,0,11,0,1,415.38687841184696,415.38687841184696,414.63319346436504
180,175,1,9,0,0,438.05102084050145,415.38687841184696,414.63319346436504
181,176,1,9,0,0,438.05102084050145,415.38687841184696,414.63319346436504
182,177,2,11,0,0,542.4516361736835,415.38687841184696,414.63319346436504
183,178,0,8,0,0,422.96889179817396,415.38687841184696,414.63319346436504
184,179,1,9,0,1,414.4948059176514,414.4948059176514,414.4948059176514
185,180,2,8,0,1,414.551012820389,414.551012820389,414.4948059176514
186,181,2,9,0,0,451.3687953182087,414.551012820389,414.4948059176514
187,182,2,10,0,0,439.8209068291737,414.551012820389,414.4948059176514
188,183,0,11,0,1,413.23319346436494,413.23319346436494,413.23319346436494
189,184,1,11,0,1,413.533193464365,413.533193464365,413.23319346436494
190,185,1,11,0,0,519.8524102889314,413.533193464365,413.23319346436494
191,186,0,11,0,0,458.3942540346367,413.533193464365,413.23319346436494
192,187,1,11,0,0,448.9142857801772,413.533193464365,413.23319346436494
193,188,2,8,0,0,430.5993247711392,413.533193464365,413.23319346436494
194,189,1,9,0,0,421.8000003141468,413.533193464365,413.23319346436494
195,190,0,10,0,0,437.8510208405015,413.533193464365,413.23319346436494
196,191,1,10,0,0,437.8510208405015,413.533193464365,413.23319346436494
197,192,0,10,0,0,461.16454620519454,413.533193464365,413.23319346436494
198,193,0,10,0,0,437.8510208405015,413.533193464365,413.23319346436494
199,194,1,10,0,1,412.933193464365,412.933193464365,412.933193464365
200,195,0,8,0,1,412.933193464365,412.933193464365,412.933193464365
201,196,0,11,0,0,437.8510208405015,412.933193464365,412.933193464365
202,197,1,11,0,0,437.8510208405015,412.933193464365,412.933193464365
203,198,2,11,0,1,412.6331934643649,412.6331934643649,412.6331934643649
204,199,2,11,0,0,437.55102084050145,412.6331934643649,412.6331934643649
205,200,1,8,0,0,450.233193464365,412.6331934643649,412.6331934643649
206,201,1,11,0,0,437.55102084050145,412.6331934643649,412.6331934643649
207,202,1,11,0,0,437.55102084050145,412.6331934643649,412.6331934643649
208,203,0,8,0,0,437.55102084050145,412.6331934643649,412.6331934643649
209,204,1,9,0,0,427.933193464365,412.6331934643649,412.6331934643649
210,204,0,11,1,0,,412.6331934643649,412.6331934643649
211,205,1,10,0,0,437.8510208405015,412.6331934643649,412.6331934643649
212,206,2,9,0,1,412.933193464365,412.933193464365,412.6331934643649
213,207,1,11,0,0,449.6776829421187,412.933193464365,412.6331934643649
214,208,0,10,0,0,463.84589862445273,412.933193464365,412.6331934643649
215,209,2,10,0,1,412.6331934643649,412.6331934643649,412.6331934643649
216,210,1,11,0,0,443.23319346436494,412.6331934643649,412.6331934643649
217,211,0,12,0,0,429.1611910136938,412.6331934643649,412.6331934643649
218,212,1,9,0,0,439.52090682917367,412.6331934643649,412.6331934643649
219,213,1,9,0,0,437.55102084050145,412.6331934643649,412.6331934643649
220,214,1,10,0,0,437.55102084050145,412.6331934643649,412.6331934643649
221,215,2,12,0,0,448.5908167150461,412.6331934643649,412.6331934643649
222,216,1,9,0,1,412.6331934643649,412.6331934643649,412.6331934643649
223,217,1,10,0,0,437.55102084050145,412.6331934643649,412.6331934643649
224,218,0,9,0,0,434.5220283228927,412.6331934643649,412.6331934643649
225,219,1,10,0,1,412.6331934643649,412.6331934643649,412.6331934643649
226,220,0,11,0,0,430.3808514698348,412.6331934643649,412.6331934643649
227,221,1,8,0,0,437.55102084050145,412.6331934643649,412.6331934643649
228,222,0,11,0,1,412.933193464365,412.933193464365,412.6331934643649
229,223,2,8,0,0,418.033193464365,412.933193464365,412.6331934643649
230,224,2,9,0,0,429.9993247711392,412.933193464365,412.6331934643649
231,225,0,10,0,0,496.61830728315357,412.933193464365,412.6331934643649
232,226,1,11,0,0,475.15102084050153,412.933193464365,412.6331934643649
233,227,2,11,0,0,453.1430833348919,412.933193464365,412.6331934643649
234,228,1,12,0,0,473.9679502985908,412.933193464365,412.6331934643649
235,228,1,8,1,0,,412.933193464365,412.6331934643649
236,229,2,11,0,1,412.93319346436493,412.93319346436493,412.6331934643649
237,230,2,8,0,0,429.6993247711391,412.93319346436493,412.6331934643649
238,231,2,9,0,0,495.35968296126,412.93319346436493,412.6331934643649
239,232,2,10,0,0,439.52090682917367,412.93319346436493,412.6331934643649
240,233,0,12,0,0,456.86196912284794,412.93319346436493,412.6331934643649
241,234,0,8,0,1,412.6331934643649,412.6331934643649,412.6331934643649
242,235,1,11,0,0,475.15102084050153,412.6331934643649,412.6331934643649
243,236,2,11,0,0,414.233193464365,412.6331934643649,412.6331934643649
244,237,1,8,0,0,437.55102084050145,412.6331934643649,412.6331934643649
245,238,0,8,0,1,412.933193464365,412.933193464365,412.6331934643649
246,239,0,10,0,0,456.25543738006854,412.933193464365,412.6331934643649
247,240,1,9,0,0,437.8510208405015,412.933193464365,412.6331934643649
248,241,1,11,0,0,450.1331934643651,412.933193464365,412.6331934643649
249,242,1,11,0,0,442.733193464365,412.933193464365,412.6331934643649
250,243,1,9,0,0,437.8510208405015,412.933193464365,412.6331934643649
251,244,1,10,0,0,439.52090682917367,412.933193464365,412.6331934643649
