decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,10,0,1,409.2166983542207,409.2166983542207,409.2166983542207
2,2,0,11,0,0,415.3447413065668,409.2166983542207,409.2166983542207
3,3,2,10,0,1,403.7098567039178,403.7098567039178,403.7098567039178
4,4,1,10,0,0,407.60826859499593,403.7098567039178,403.7098567039178
5,5,2,12,0,1,408.9833960035927,408.9833960035927,403.7098567039178
6,6,2,10,0,0,413.503009196714,408.9833960035927,403.7098567039178
7,7,1,10,0,1,406.1933560802033,406.1933560802033,403.7098567039178
8,8,0,11,0,0,412.82139903254927,406.1933560802033,403.7098567039178
9,9,2,10,0,1,405.6933560802033,405.6933560802033,403.7098567039178
10,10,1,11,0,1,400.24542704959754,400.24542704959754,400.24542704959754
11,11,2,12,0,1,392.2179608820698,392.2179608820698,392.2179608820698
12,12,2,11,0,0,404.7439298134715,392.2179608820698,392.2179608820698
13,13,2,11,0,0,401.1014269446931,392.2179608820698,392.2179608820698
14,14,1,11,0,1,392.4179608820698,392.4179608820698,392.2179608820698
15,15,1,9,0,1,392.6937002893435,392.6937002893435,392.2179608820698
16,16,2,9,0,1,392.4937002893435,392.4937002893435,392.2179608820698
17,17,1,9,0,0,405.008268594996,392.4937002893435,392.2179608820698
18,18,0,10,0,0,433.70266343700774,392.4937002893435,392.2179608820698
19,19,1,11,0,0,398.4758277185194,392.4937002893435,392.2179608820698
20,20,2,11,0,0,395.6334406610237,392.4937002893435,392.2179608820698
21,21,1,9,0,0,396.69728977871296,392.4937002893435,392.2179608820698
22,22,2,9,0,0,421.7558133164543,392.4937002893435,392.2179608820698
23,23,2,11,0,1,392.99370028934345,392.99370028934345,392.2179608820698
24,24,0,11,0,1,391.1179608820698,391.1179608820698,391.1179608820698
25,25,2,10,0,0,409.7991652432492,391.1179608820698,391.1179608820698
26,26,0,12,0,1,397.57263703243666,397.57263703243666,391.1179608820698
27,27,1,12,0,1,391.1179608820698,391.1179608820698,391.1179608820698
28,28,2,9,0,0,404.63369864219885,391.1179608820698,391.1179608820698
29,29,0,12,0,0,392.99370028934345,391.1179608820698,391.1179608820698
30,30,0,10,0,0,430.80687396637614,391.1179608820698,391.1179608820698
31,31,2,9,0,0,422.5796657686527,391.1179608820698,391.1179608820698
32,32,1,9,0,1,389.22946820505825,389.22946820505825,389.22946820505825
33,33,0,11,0,1,403.6197759179844,403.6197759179844,389.22946820505825
34,34,0,11,0,0,413.19685307082636,403.6197759179844,389.22946820505825
35,34,1,10,1,0,,403.6197759179844,389.22946820505825
36,35,2,12,0,0,413.028737432038,403.6197759179844,389.22946820505825
37,36,0,11,0,1,398.1129342676815,398.1129342676815,389.22946820505825
