decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,9,0,1,460.3811834796021,460.3811834796021,459.1633905105962
2,2,0,9,0,1,464.4925285497862,464.4925285497862,459.1633905105962
3,3,1,9,0,1,461.08239874177275,461.08239874177275,459.1633905105962
4,4,0,9,0,0,466.19570902598576,461.08239874177275,459.1633905105962
5,4,2,11,1,0,,461.08239874177275,459.1633905105962
6,5,0,11,0,1,459.0380553199699,459.0380553199699,459.0380553199699
7,6,1,11,0,1,459.8467329661302,459.8467329661302,459.0380553199699
8,6,0,11,1,0,,459.8467329661302,459.0380553199699
9,7,2,8,0,0,464.561623952828,459.8467329661302,459.0380553199699
10,8,2,9,0,1,459.03378466493905,459.03378466493905,459.03378466493905
11,9,0,9,0,0,459.8467329661302,459.03378466493905,459.03378466493905
12,10,2,11,0,1,459.4681053419112,459.4681053419112,459.03378466493905
13,11,2,8,0,1,458.62893999712423,458.62893999712423,458.62893999712423
14,12,1,10,0,0,464.84464906186656,458.62893999712423,458.62893999712423
15,12,0,10,1,0,,458.62893999712423,458.62893999712423
16,13,0,9,0,0,464.84464906186656,458.62893999712423,458.62893999712423
17,13,0,11,1,0,,458.62893999712423,458.62893999712423
18,13,2,10,1,0,,458.62893999712423,458.62893999712423
19,14,1,10,0,0,464.84464906186656,458.62893999712423,458.62893999712423
20,15,1,9,0,1,457.17225690065254,457.17225690065254,457.17225690065254
21,16,0,11,0,1,453.79949862846,453.79949862846,453.79949862846
22,16,1,10,1,0,,453.79949862846,453.79949862846
23,17,0,11,0,0,465.6343679931822,453.79949862846,453.79949862846
24,17,1,10,1,0,,453.79949862846,453.79949862846
25,17,0,10,1,0,,453.79949862846,453.79949862846
26,17,1,10,1,0,,453.79949862846,453.79949862846
27,18,1,11,0,1,456.25618172493176,456.25618172493176,453.79949862846
28,19,0,8,0,0,458.62893999712423,456.25618172493176,453.79949862846
29,20,0,11,0,1,458.62893999712423,458.62893999712423,453.79949862846
30,21,2,9,0,1,459.54509219223786,459.54509219223786,453.79949862846
31,22,0,8,0,1,464.25840247645084,464.25840247645084,453.79949862846
32,23,0,10,0,1,467.88503680659494,467.88503680659494,453.79949862846
33,24,1,11,0,0,473.0130078691974,467.88503680659494,453.79949862846
34,25,1,9,0,0,473.0130078691974,467.88503680659494,453.79949862846
35,26,2,10,0,1,467.8183018331194,467.8183018331194,453.79949862846
