decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,10,0,0,555.4651970886405,545.3724091941702,545.3724091941702
2,2,1,11,0,1,532.815062707488,532.815062707488,532.815062707488
3,2,0,11,1,0,,532.815062707488,532.815062707488
4,2,2,8,1,0,,532.815062707488,532.815062707488
5,3,0,8,0,1,536.1709640009065,536.1709640009065,532.815062707488
6,4,2,11,0,1,536.2709640009065,536.2709640009065,532.815062707488
7,5,2,10,0,1,536.1709640009065,536.1709640009065,532.815062707488
8,6,0,12,0,0,583.1423688987281,536.1709640009065,532.815062707488
9,7,0,9,0,1,532.815062707488,532.815062707488,532.815062707488
10,7,2,11,1,0,,532.815062707488,532.815062707488
11,8,1,10,0,0,583.242368898728,532.815062707488,532.815062707488
12,8,0,8,1,0,,532.815062707488,532.815062707488
13,8,1,11,1,0,,532.815062707488,532.815062707488
14,9,1,8,0,1,502.9423763293395,502.9423763293395,502.9423763293395
15,9,2,8,1,0,,502.9423763293395,502.9423763293395
16,10,0,8,0,0,522.7358611179828,502.9423763293395,502.9423763293395
17,11,2,10,0,0,516.2945347297065,502.9423763293395,502.9423763293395
18,12,1,11,0,0,532.815062707488,502.9423763293395,502.9423763293395
19,12,0,9,1,0,,502.9423763293395,502.9423763293395
20,12,0,10,1,0,,502.9423763293395,502.9423763293395
21,13,1,11,0,0,532.815062707488,502.9423763293395,502.9423763293395
22,14,0,10,0,0,549.3711941194705,502.9423763293395,502.9423763293395
23,15,1,10,0,0,532.815062707488,502.9423763293395,502.9423763293395
24,16,0,10,0,0,532.815062707488,502.9423763293395,502.9423763293395
25,17,2,11,0,0,543.0156266009482,502.9423763293395,502.9423763293395
26,18,1,11,0,0,649.3311092921524,502.9423763293395,502.9423763293395
27,19,1,11,0,0,532.815062707488,502.9423763293395,502.9423763293395
28,20,0,8,0,0,549.4711941194704,502.9423763293395,502.9423763293395
29,21,2,9,0,0,509.32002886853934,502.9423763293395,502.9423763293395
30,22,1,8,0,0,532.815062707488,502.9423763293395,502.9423763293395
31,23,1,9,0,0,532.815062707488,502.9423763293395,502.9423763293395
32,24,2,10,0,0,532.815062707488,502.9423763293395,502.9423763293395
33,25,2,12,0,0,521.9384749946689,502.9423763293395,502.9423763293395
34,26,1,11,0,0,583.242368898728,502.9423763293395,502.9423763293395
35,27,2,9,0,0,548.639789817017,502.9423763293395,502.9423763293395
36,28,2,11,0,0,512.7415742057259,502.9423763293395,502.9423763293395
37,29,0,9,0,0,559.0061948241796,502.9423763293395,502.9423763293395
38,30,0,11,0,0,532.815062707488,502.9423763293395,502.9423763293395
39,31,0,10,0,1,493.40211879880763,493.40211879880763,493.40211879880763
40,32,0,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
41,33,1,9,0,0,532.815062707488,493.40211879880763,493.40211879880763
42,34,1,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
43,35,1,12,0,0,532.815062707488,493.40211879880763,493.40211879880763
44,36,1,10,0,0,582.2868127657689,493.40211879880763,493.40211879880763
45,36,0,8,1,0,,493.40211879880763,493.40211879880763
46,37,1,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
47,38,0,9,0,0,502.9423763293395,493.40211879880763,493.40211879880763
48,39,2,10,0,0,502.9423763293395,493.40211879880763,493.40211879880763
49,40,1,9,0,0,546.8265440311219,493.40211879880763,493.40211879880763
50,41,0,9,0,0,552.6799110329616,493.40211879880763,493.40211879880763
51,42,0,9,0,0,549.3711941194705,493.40211879880763,493.40211879880763
52,43,2,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
53,44,2,10,0,0,562.5754379905707,493.40211879880763,493.40211879880763
54,44,1,8,1,0,,493.40211879880763,493.40211879880763
55,45,1,12,0,0,512.3493680686231,493.40211879880763,493.40211879880763
56,46,2,11,0,0,635.5457654394127,493.40211879880763,493.40211879880763
57,47,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
58,48,0,11,0,0,520.2874266839767,493.40211879880763,493.40211879880763
59,49,2,10,0,0,525.1408166453562,493.40211879880763,493.40211879880763
60,50,1,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
61,51,0,9,0,0,502.9423763293395,493.40211879880763,493.40211879880763
62,52,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
63,53,2,11,0,0,546.726544031122,493.40211879880763,493.40211879880763
64,54,1,10,0,0,532.815062707488,493.40211879880763,493.40211879880763
65,54,0,9,1,0,,493.40211879880763,493.40211879880763
66,55,2,11,0,0,502.9423763293395,493.40211879880763,493.40211879880763
67,56,1,10,0,0,543.0156266009482,493.40211879880763,493.40211879880763
68,57,1,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
69,57,0,10,1,0,,493.40211879880763,493.40211879880763
70,58,0,10,0,0,528.916996615958,493.40211879880763,493.40211879880763
71,59,2,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
72,60,0,10,0,1,496.9021187988077,496.9021187988077,493.40211879880763
73,61,2,10,0,0,550.326544031122,496.9021187988077,493.40211879880763
74,62,0,10,0,0,506.4423763293395,496.9021187988077,493.40211879880763
75,63,2,11,0,0,534.1721277376275,496.9021187988077,493.40211879880763
76,64,1,11,0,1,493.40211879880763,493.40211879880763,493.40211879880763
77,65,0,11,0,0,546.8265440311219,493.40211879880763,493.40211879880763
78,66,1,11,0,0,546.8265440311219,493.40211879880763,493.40211879880763
79,67,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
80,68,1,10,0,0,514.047265359501,493.40211879880763,493.40211879880763
81,69,2,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
82,70,2,10,0,0,502.9423763293395,493.40211879880763,493.40211879880763
83,71,1,8,0,0,529.1300901779247,493.40211879880763,493.40211879880763
84,72,0,8,0,0,546.8265440311219,493.40211879880763,493.40211879880763
85,73,0,11,0,0,502.9423763293395,493.40211879880763,493.40211879880763
86,74,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
87,75,0,11,0,0,546.8265440311219,493.40211879880763,493.40211879880763
88,76,2,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
89,77,0,9,0,0,502.9423763293395,493.40211879880763,493.40211879880763
90,78,2,11,0,0,531.4741512053254,493.40211879880763,493.40211879880763
91,79,2,8,0,0,502.9423763293395,493.40211879880763,493.40211879880763
92,80,0,12,0,0,528.1169966159581,493.40211879880763,493.40211879880763
93,80,0,8,1,0,,493.40211879880763,493.40211879880763
94,81,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
95,82,1,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
96,83,2,8,0,0,546.726544031122,493.40211879880763,493.40211879880763
97,84,2,8,0,0,528.1169966159581,493.40211879880763,493.40211879880763
98,85,0,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
99,85,2,9,1,0,,493.40211879880763,493.40211879880763
100,86,1,12,0,0,546.8265440311219,493.40211879880763,493.40211879880763
101,87,0,9,0,0,549.4711941194704,493.40211879880763,493.40211879880763
102,88,2,8,0,0,528.1169966159581,493.40211879880763,493.40211879880763
103,89,0,9,0,0,562.2126109875064,493.40211879880763,493.40211879880763
104,90,0,11,0,0,559.0061948241796,493.40211879880763,493.40211879880763
105,91,1,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
106,92,0,11,0,0,502.9423763293395,493.40211879880763,493.40211879880763
107,93,0,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
108,94,0,8,0,0,528.1169966159581,493.40211879880763,493.40211879880763
109,95,2,10,0,0,549.3711941194705,493.40211879880763,493.40211879880763
110,96,2,10,0,0,546.726544031122,493.40211879880763,493.40211879880763
111,97,2,10,0,0,546.8265440311219,493.40211879880763,493.40211879880763
112,98,0,10,0,0,545.0049550705129,493.40211879880763,493.40211879880763
113,99,1,9,0,0,546.8265440311219,493.40211879880763,493.40211879880763
114,100,2,11,0,0,532.815062707488,493.40211879880763,493.40211879880763
115,101,2,11,0,0,546.726544031122,493.40211879880763,493.40211879880763
116,102,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
117,103,2,11,0,0,550.2503055628803,493.40211879880763,493.40211879880763
118,104,1,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
119,105,0,11,0,0,549.3711941194705,493.40211879880763,493.40211879880763
120,106,2,10,0,0,554.443418974893,493.40211879880763,493.40211879880763
121,107,2,9,0,0,546.8265440311219,493.40211879880763,493.40211879880763
122,108,1,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
123,109,0,8,0,0,504.8037145015491,493.40211879880763,493.40211879880763
124,110,2,9,0,0,502.9423763293395,493.40211879880763,493.40211879880763
125,111,2,9,0,0,549.4711941194704,493.40211879880763,493.40211879880763
126,112,2,11,0,0,542.2971892802457,493.40211879880763,493.40211879880763
127,113,2,10,0,0,552.6799110329616,493.40211879880763,493.40211879880763
128,114,1,9,0,0,546.8265440311219,493.40211879880763,493.40211879880763
129,115,2,10,0,0,549.4711941194704,493.40211879880763,493.40211879880763
130,116,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
131,117,2,11,0,0,528.1169966159581,493.40211879880763,493.40211879880763
132,118,0,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
133,119,0,11,0,0,508.95634766648584,493.40211879880763,493.40211879880763
134,120,1,10,0,0,528.1169966159581,493.40211879880763,493.40211879880763
135,121,1,9,0,0,528.1169966159581,493.40211879880763,493.40211879880763
136,122,1,9,0,1,491.1247324815086,491.1247324815086,491.1247324815086
137,123,1,10,0,0,501.49324035057367,491.1247324815086,491.1247324815086
138,124,2,9,0,0,540.8692544743096,491.1247324815086,491.1247324815086
139,125,2,9,0,0,510.349004394672,491.1247324815086,491.1247324815086
140,126,2,10,0,0,502.6738733605258,491.1247324815086,491.1247324815086
141,127,1,10,0,0,493.40211879880763,491.1247324815086,491.1247324815086
142,128,1,11,0,0,546.8265440311219,491.1247324815086,491.1247324815086
143,129,1,9,0,0,549.4711941194704,491.1247324815086,491.1247324815086
144,130,2,12,0,0,510.24900439467206,491.1247324815086,491.1247324815086
145,131,0,11,0,1,493.40211879880763,493.40211879880763,491.1247324815086
146,132,0,11,0,0,532.815062707488,493.40211879880763,491.1247324815086
147,132,0,10,1,0,,493.40211879880763,491.1247324815086
148,133,2,8,0,0,502.9423763293395,493.40211879880763,491.1247324815086
149,134,2,10,0,0,546.726544031122,493.40211879880763,491.1247324815086
150,135,2,10,0,0,508.95634766648584,493.40211879880763,491.1247324815086
151,136,2,8,0,0,552.8799110329617,493.40211879880763,491.1247324815086
152,137,2,11,0,0,502.9423763293395,493.40211879880763,491.1247324815086
153,138,2,11,0,0,538.8953101557076,493.40211879880763,491.1247324815086
154,139,1,11,0,0,536.6893428097302,493.40211879880763,491.1247324815086
