decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,0,11,1,0,463.73138219221426,463.73138219221426,
2,1,2,10,0,1,465.8954038384936,463.73138219221426,465.8954038384936
3,1,2,10,1,0,465.8954038384936,463.73138219221426,
4,2,0,13,0,1,467.6052818707698,463.73138219221426,467.6052818707698
5,3,1,13,0,0,467.6052818707698,463.73138219221426,478.78078294564796
6,4,2,11,0,0,467.6052818707698,463.73138219221426,475.1884452923961
7,5,1,12,0,0,467.6052818707698,463.73138219221426,490.37338241116043
8,6,0,13,0,0,467.6052818707698,463.73138219221426,529.5218842633274
9,7,1,13,0,0,467.6052818707698,463.73138219221426,478.78078294564796
10,8,0,12,0,1,465.04912926590976,463.73138219221426,465.04912926590976
11,9,1,11,0,0,465.04912926590976,463.73138219221426,490.6616663548147
12,10,0,11,0,0,465.04912926590976,463.73138219221426,476.224630340788
13,11,1,12,0,0,465.04912926590976,463.73138219221426,475.2556396969471
14,12,1,11,0,1,469.6323591405542,463.73138219221426,469.6323591405542
15,13,0,11,0,0,469.6323591405542,463.73138219221426,480.3569538710161
16,14,0,10,0,1,472.07087796272407,463.73138219221426,472.07087796272407
17,15,2,9,0,0,472.07087796272407,463.73138219221426,485.09819868682325
18,16,0,9,0,1,469.6323591405542,463.73138219221426,469.6323591405542
19,17,0,11,0,1,469.9709422087524,463.73138219221426,469.9709422087524
20,18,1,13,0,0,469.9709422087524,463.73138219221426,505.03836692800155
21,19,1,10,0,0,469.9709422087524,463.73138219221426,476.69154100047575
22,20,1,11,0,0,469.9709422087524,463.73138219221426,518.2224739981639
23,21,0,10,0,1,467.97428659240666,463.73138219221426,467.97428659240666
24,22,2,11,0,0,467.97428659240666,463.73138219221426,537.4768962817128
25,23,2,11,0,0,467.97428659240666,463.73138219221426,479.01796558383126
26,24,2,12,0,1,464.32521697232113,463.73138219221426,464.32521697232113
27,24,0,10,1,0,464.32521697232113,463.73138219221426,
28,25,0,12,0,1,466.4722412493211,463.73138219221426,466.4722412493211
29,26,0,10,0,0,466.4722412493211,463.73138219221426,488.9759318066113
30,27,1,9,0,0,466.4722412493211,463.73138219221426,472.56065078699476
31,28,1,12,0,1,449.5144913454069,449.5144913454069,449.5144913454069
32,29,0,11,0,1,449.2838159676846,449.2838159676846,449.2838159676846
33,30,0,12,0,0,449.2838159676846,449.2838159676846,456.7237951404892
34,31,1,9,0,0,449.2838159676846,449.2838159676846,456.7237951404892
35,32,0,13,0,0,449.2838159676846,449.2838159676846,454.39540304014804
36,33,1,11,0,1,453.00423218084467,449.2838159676846,453.00423218084467
37,34,1,10,0,1,448.3145896354009,448.3145896354009,448.3145896354009
38,35,0,12,0,0,448.3145896354009,448.3145896354009,457.6292370182093
39,36,1,12,0,0,448.3145896354009,448.3145896354009,468.3262399607978
40,37,1,9,0,0,448.3145896354009,448.3145896354009,463.12207802129484
41,38,2,11,0,0,448.3145896354009,448.3145896354009,468.3262399607978
