decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,1,13,0,0,475.8530928029944,472.0012375311706,472.0012375311706
2,1,2,10,1,0,,472.0012375311706,472.0012375311706
3,2,2,10,0,0,507.99413661644786,472.0012375311706,472.0012375311706
4,3,2,10,0,1,475.8530928029944,475.8530928029944,472.0012375311706
5,4,1,10,0,1,478.4184768521301,478.4184768521301,472.0012375311706
6,5,1,10,0,1,471.81130110735194,471.81130110735194,471.81130110735194
7,6,1,12,0,1,471.974253282611,471.974253282611,471.81130110735194
8,7,1,10,0,1,473.96735282642214,473.96735282642214,471.81130110735194
9,8,0,10,0,1,473.3673528264221,473.3673528264221,471.81130110735194
10,9,2,12,0,0,491.43629899963486,473.3673528264221,471.81130110735194
11,10,2,13,0,0,476.42828283921784,473.3673528264221,471.81130110735194
12,11,2,10,0,1,480.813389929428,480.813389929428,471.81130110735194
13,12,1,9,0,1,488.0427015696684,488.0427015696684,471.81130110735194
14,13,2,11,0,1,487.70578056273894,487.70578056273894,471.81130110735194
15,14,0,12,0,0,490.42072932807054,487.70578056273894,471.81130110735194
16,15,1,12,0,1,485.33449691978103,485.33449691978103,471.81130110735194
17,16,0,9,0,0,493.87022804410304,485.33449691978103,471.81130110735194
18,17,2,9,0,1,485.7547742938857,485.7547742938857,471.81130110735194
19,18,0,11,0,0,491.8029400540035,485.7547742938857,471.81130110735194
20,19,2,9,0,0,487.700657984416,485.7547742938857,471.81130110735194
21,20,2,9,0,0,491.3055745859988,485.7547742938857,471.81130110735194
22,21,2,9,0,0,488.08868172660385,485.7547742938857,471.81130110735194
23,22,2,11,0,0,511.2978802337009,485.7547742938857,471.81130110735194
24,23,2,11,0,1,484.73778043526505,484.73778043526505,471.81130110735194
25,24,1,9,0,1,484.19057188549925,484.19057188549925,471.81130110735194
26,25,2,11,0,1,478.5178304875676,478.5178304875676,471.81130110735194
27,26,1,11,0,1,476.6378091713216,476.6378091713216,471.81130110735194
28,27,1,10,0,0,485.3541306854564,476.6378091713216,471.81130110735194
29,28,0,12,0,1,466.9095463715938,466.9095463715938,466.9095463715938
30,29,0,9,0,1,457.9187231022302,457.9187231022302,457.9187231022302
31,30,1,11,0,0,470.8008359571793,457.9187231022302,457.9187231022302
32,31,1,13,0,1,460.6187231022302,460.6187231022302,457.9187231022302
33,32,2,12,0,0,482.3859955172085,460.6187231022302,457.9187231022302
34,33,1,9,0,1,460.06685927936996,460.06685927936996,457.9187231022302
35,34,2,9,0,1,458.26700946893584,458.26700946893584,457.9187231022302
36,35,1,9,0,1,459.0555108368116,459.0555108368116,457.9187231022302
37,36,2,11,0,1,462.1141229455498,462.1141229455498,457.9187231022302
38,37,2,12,0,0,494.5203622002961,462.1141229455498,457.9187231022302
39,38,0,11,0,1,457.6406678955693,457.6406678955693,457.6406678955693
40,39,1,12,0,1,456.0023382511315,456.0023382511315,456.0023382511315
41,40,0,9,0,0,466.12294159617807,456.0023382511315,456.0023382511315
42,41,1,10,0,0,493.83480409752303,456.0023382511315,456.0023382511315
43,42,1,12,0,0,503.02836587287936,456.0023382511315,456.0023382511315
44,43,1,10,0,0,479.96584528978656,456.0023382511315,456.0023382511315
45,44,1,10,0,1,455.44229119180187,455.44229119180187,455.44229119180187
46,45,2,13,0,1,451.77700354138847,451.77700354138847,451.77700354138847
47,46,0,10,0,0,461.09808025022073,451.77700354138847,451.77700354138847
48,47,1,11,0,0,518.545828207722,451.77700354138847,451.77700354138847
49,48,0,10,0,0,456.68308023998225,451.77700354138847,451.77700354138847
50,49,1,11,0,0,461.4713556167916,451.77700354138847,451.77700354138847
51,50,0,12,0,0,462.25558041709024,451.77700354138847,451.77700354138847
52,51,1,12,0,0,468.7079694742772,451.77700354138847,451.77700354138847
53,52,1,11,0,0,473.0905098702698,451.77700354138847,451.77700354138847
54,53,1,9,0,0,461.09808025022073,451.77700354138847,451.77700354138847
55,54,1,12,0,0,461.4713556167916,451.77700354138847,451.77700354138847
56,55,1,11,0,0,545.7933059536684,451.77700354138847,451.77700354138847
57,56,2,10,0,0,457.37714814658557,451.77700354138847,451.77700354138847
58,57,2,10,0,0,462.25558041709024,451.77700354138847,451.77700354138847
59,58,2,9,0,0,462.25558041709024,451.77700354138847,451.77700354138847
60,59,0,11,0,0,462.25558041709024,451.77700354138847,451.77700354138847
61,60,1,12,0,1,462.28088998413733,462.28088998413733,451.77700354138847
62,61,1,11,0,1,457.8678241764403,457.8678241764403,451.77700354138847
63,61,0,10,1,0,,457.8678241764403,451.77700354138847
64,62,1,12,0,0,470.55237994111815,457.8678241764403,451.77700354138847
65,63,2,11,0,0,464.93556114546647,457.8678241764403,451.77700354138847
66,64,1,12,0,0,472.3363692748675,457.8678241764403,451.77700354138847
67,65,1,11,0,1,457.37714814658557,457.37714814658557,451.77700354138847
68,66,0,12,0,0,464.8001049208274,457.37714814658557,451.77700354138847
69,67,0,10,0,0,465.5948701964983,457.37714814658557,451.77700354138847
70,68,1,11,0,0,463.9849074727698,457.37714814658557,451.77700354138847
71,69,2,10,0,0,465.5948701964983,457.37714814658557,451.77700354138847
72,70,2,9,0,0,473.39953682144164,457.37714814658557,451.77700354138847
73,71,0,10,0,0,472.4885534025089,457.37714814658557,451.77700354138847
74,72,2,12,0,0,501.19555370813373,457.37714814658557,451.77700354138847
75,73,2,12,0,1,451.77700354138847,451.77700354138847,451.77700354138847
76,74,1,10,0,0,464.59042419323623,451.77700354138847,451.77700354138847
77,75,2,12,0,0,524.2883150782714,451.77700354138847,451.77700354138847
78,76,0,12,0,0,483.61042807932625,451.77700354138847,451.77700354138847
79,77,1,12,0,0,468.160796179165,451.77700354138847,451.77700354138847
80,78,2,12,0,0,457.37714814658557,451.77700354138847,451.77700354138847
81,79,0,12,0,0,457.37714814658557,451.77700354138847,451.77700354138847
82,80,2,9,0,0,460.5554779251298,451.77700354138847,451.77700354138847
83,81,1,10,0,0,457.37714814658557,451.77700354138847,451.77700354138847
84,82,1,11,0,0,461.4713556167916,451.77700354138847,451.77700354138847
85,83,1,10,0,0,470.50854240628274,451.77700354138847,451.77700354138847
86,84,2,12,0,0,457.38041162714137,451.77700354138847,451.77700354138847
87,85,2,9,0,0,462.25558041709024,451.77700354138847,451.77700354138847
88,86,1,12,0,0,462.25558041709024,451.77700354138847,451.77700354138847
89,87,1,10,0,0,453.99539440155246,451.77700354138847,451.77700354138847
90,88,1,13,0,0,539.5171583635663,451.77700354138847,451.77700354138847
