rank,objective,medoid_days
1,20.18039261018096,2 5 7
2,20.462060440108978,3 5 7
3,22.41456159012524,3 6 8
4,23.279024308946966,2 3 5
5,23.374645820748945,3 5 9
6,23.421142244002606,3 5 6
7,23.856230923021105,3 5 8
8,24.072750811673714,3 4 5
9,24.09240380213874,3 6 9
10,25.076885647933366,2 7 8
11,25.076885647933366,3 7 8
12,26.0623715644724,3 4 6
13,27.376976250661556,3 7 9
14,27.881562421440282,4 5 7
15,27.893849516771354,2 3 8
16,28.562936266184945,3 4 8
17,28.63489021706315,5 7 9
18,28.68138664031681,5 6 7
19,29.116475319335308,5 7 8
20,29.120691435763856,3 8 9
21,29.346944012995213,3 4 7
22,29.871183174238965,4 6 7
23,30.099885175437546,3 4 9
24,30.193940119499544,2 3 9
25,30.81570504241497,2 5 9
26,30.862201465668626,2 5 6
27,31.08780508477968,2 4 5
28,31.297290144687125,2 5 8
29,32.048945885092074,6 7 8
30,32.1639078818332,2 3 4
31,32.37174787595151,4 7 8
32,32.509604124354965,2 7 9
33,32.5257158440599,3 6 7
34,33.07742583757837,2 4 6
35,34.24921748124669,2 4 7
36,35.13675301314811,2 6 8
37,35.34267971289789,2 3 6
38,35.57799053929091,2 4 8
39,36.931007075218005,4 7 9
40,37.142481819986074,4 6 8
41,38.057182338523994,4 6 9
42,38.22720580392294,4 5 9
43,38.27370222717661,4 5 6
44,38.62725216142071,2 3 7
45,38.708790906195105,4 5 8
46,38.755075730730695,7 8 9
47,38.878416385587464,2 6 9
48,39.31669907255082,5 6 9
49,39.79828417482298,5 6 8
50,40.13724973855741,2 4 9
51,40.65684783144626,6 7 9
52,40.88300815875984,5 8 9
53,41.84288285878672,2 8 9
54,43.848611665624695,4 8 9
55,44.70674921726446,2 6 7
56,50.175959731014444,6 8 9
