run_id,day,replicate,path_index,attempt_index,evaluated_candidates,operator_decisions,null_proposals,scenario_evaluations,recourse_runtime_s,decision_cap_hit
D02_R01_P001,2,1,1,1,250,1098,848,25100,1.817839749972336,False
D02_R01_P001,2,1,1,2,1,25000,24999,200,9.628725834016223,True
D02_R01_P001,2,1,1,3,0,25000,25000,100,2.4594627909827977,True
D02_R01_P002,2,1,2,1,1,25000,24999,200,9.685670040955301,True
D02_R01_P003,2,1,3,1,250,1221,971,25100,1.2314134999760427,False
D02_R01_P003,2,1,3,2,250,2123,1873,25100,1.3956731660291553,False
D02_R01_P003,2,1,3,3,250,1411,1161,25100,0.5998122920282185,False
D02_R01_P004,2,1,4,1,0,25000,25000,100,7.124265958031174,True
D02_R01_P006,2,1,6,1,0,25000,25000,100,5.039471166965086,True
D02_R01_P007,2,1,7,1,250,865,615,25100,1.640074166993145,False
D02_R01_P007,2,1,7,2,1,25000,24999,200,9.77897408301942,True
D02_R01_P008,2,1,8,1,250,710,460,25100,1.7631704169907607,False
D02_R01_P008,2,1,8,2,1,25000,24999,200,9.858792915998492,True
D02_R01_P009,2,1,9,1,250,1866,1616,25100,1.519598875020165,False
D02_R01_P009,2,1,9,2,250,9824,9574,25100,4.0464504169649445,False
D02_R01_P009,2,1,9,3,0,25000,25000,100,7.1674944999977015,True
D02_R01_P009,2,1,9,4,0,25000,25000,100,1.9221222079941072,True
D02_R01_P009,2,1,9,5,0,25000,25000,100,4.075041875010356,True
D02_R01_P010,2,1,10,1,250,6103,5853,25100,2.794111499970313,False
D02_R01_P010,2,1,10,2,250,2258,2008,25100,1.0007535829790868,False
D02_R01_P010,2,1,10,3,250,8048,7798,25100,3.460836875019595,False
D02_R01_P010,2,1,10,4,0,25000,25000,100,4.149901291995775,True
D02_R01_P010,2,1,10,5,0,25000,25000,100,2.5293558330158703,True
D02_R01_P010,2,1,10,6,0,25000,25000,100,3.286255249986425,True
D02_R01_P012,2,1,12,1,250,9292,9042,25100,3.904047000047285,False
D02_R01_P012,2,1,12,2,250,678,428,25100,1.0321677920292132,False
D02_R01_P012,2,1,12,3,0,25000,25000,100,1.9032432500389405,True
D02_R01_P013,2,1,13,1,250,2294,2044,25100,0.8486097499844618,False
D02_R01_P013,2,1,13,2,250,1823,1573,25100,1.838020791998133,False
D02_R01_P014,2,1,14,1,250,3210,2960,25100,1.1971020000055432,False
D02_R01_P015,2,1,15,1,250,683,433,25100,0.7615019580116495,False
D02_R01_P015,2,1,15,2,250,6217,5967,25100,2.1279797080205753,False
D02_R01_P015,2,1,15,3,0,25000,25000,100,1.9214513750048354,True
D02_R01_P016,2,1,16,1,250,1455,1205,25100,0.6099934580270201,False
D02_R01_P016,2,1,16,2,250,482,232,25100,0.796341500012204,False
D02_R01_P016,2,1,16,3,250,5393,5143,25100,1.9287998340441845,False
D02_R01_P017,2,1,17,1,250,727,477,25100,0.957494875008706,False
D02_R01_P017,2,1,17,2,0,25000,25000,100,5.051933124952484,True
D02_R01_P018,2,1,18,1,250,1131,881,25100,1.1107730829971842,False
D02_R01_P018,2,1,18,2,0,25000,25000,100,2.5622501670150086,True
D02_R01_P019,2,1,19,1,0,25000,25000,100,8.57181891601067,True
D02_R01_P019,2,1,19,2,250,1810,1560,25100,0.7877128749969415,False
D02_R01_P019,2,1,19,3,0,25000,25000,100,1.4011836670106277,True
D02_R01_P020,2,1,20,1,0,25000,25000,100,1.919648082985077,True
D02_R01_P020,2,1,20,2,0,25000,25000,100,1.9124543750076555,True
D02_R01_P020,2,1,20,3,0,25000,25000,100,1.4009713749983348,True
D02_R02_P001,2,2,1,1,250,4377,4127,25100,2.2538495420012623,False
D02_R02_P001,2,2,1,2,0,25000,25000,100,9.528043000027537,True
D02_R02_P001,2,2,1,3,0,25000,25000,100,3.957319542008918,True
D02_R02_P001,2,2,1,4,0,25000,25000,100,2.520371124963276,True
D02_R02_P003,2,2,3,1,250,1393,1143,25100,0.5887940000393428,False
D02_R02_P003,2,2,3,2,250,1049,799,25100,1.0542805000441149,False
D02_R02_P004,2,2,4,1,0,25000,25000,100,7.142308333015535,True
D02_R02_P006,2,2,6,1,0,25000,25000,100,4.985011541983113,True
D02_R02_P007,2,2,7,1,250,8614,8364,25100,3.6170200830092654,False
D02_R02_P007,2,2,7,2,0,25000,25000,100,9.98699950001901,True
D02_R02_P008,2,2,8,1,250,1275,1025,25100,2.331205625028815,False
D02_R02_P009,2,2,9,1,250,1556,1306,25100,1.5428040829719976,False
D02_R02_P009,2,2,9,2,250,2001,1751,25100,1.4027365410001948,False
D02_R02_P009,2,2,9,3,0,25000,25000,100,7.226106124988291,True
D02_R02_P009,2,2,9,4,0,25000,25000,100,1.9123466659802943,True
D02_R02_P009,2,2,9,5,0,25000,25000,100,4.066513167053927,True
D02_R02_P009,2,2,9,6,0,25000,25000,100,1.90021308301948,True
D02_R02_P010,2,2,10,1,250,1431,1181,25100,2.1786602909560315,False
D02_R02_P010,2,2,10,2,250,1752,1502,25100,1.62954237498343,False
D02_R02_P010,2,2,10,3,250,4574,4324,25100,2.3296104589826427,False
D02_R02_P010,2,2,10,4,250,1600,1350,25100,0.7513441669871099,False
D02_R02_P010,2,2,10,5,250,746,496,25100,0.6142041250132024,False
D02_R02_P010,2,2,10,6,0,25000,25000,100,4.251974416023586,True
D02_R02_P010,2,2,10,7,0,25000,25000,100,2.5741282080416568,True
D02_R02_P012,2,2,12,1,250,1629,1379,25100,1.5730952909798361,False
D02_R02_P012,2,2,12,2,250,3292,3042,25100,1.8713902499875985,False
D02_R02_P012,2,2,12,3,0,25000,25000,100,1.9340952080092393,True
D02_R02_P013,2,2,13,1,250,1848,1598,25100,1.8619650419568643,False
D02_R02_P013,2,2,13,2,250,2158,1908,25100,0.8400569160003215,False
D02_R02_P013,2,2,13,3,250,3519,3269,25100,1.2456676669535227,False
D02_R02_P013,2,2,13,4,0,25000,25000,100,8.490685417025816,True
D02_R02_P014,2,2,14,1,250,2869,2619,25100,1.132644125027582,False
D02_R02_P014,2,2,14,2,250,4040,3790,25100,1.5965477909776382,False
D02_R02_P015,2,2,15,1,250,1417,1167,25100,1.079278625024017,False
D02_R02_P015,2,2,15,2,0,25000,25000,100,6.067205625004135,True
D02_R02_P015,2,2,15,3,0,25000,25000,100,1.9354967499966733,True
D02_R02_P016,2,2,16,1,250,851,601,25100,0.44542570802150294,False
D02_R02_P016,2,2,16,2,0,25000,25000,100,6.119120832998306,True
D02_R02_P017,2,2,17,1,0,25000,25000,100,11.392537124978844,True
D02_R02_P017,2,2,17,2,250,1249,999,25100,0.5859380409820005,False
D02_R02_P017,2,2,17,3,250,1401,1151,25100,1.2047012919792905,False
D02_R02_P017,2,2,17,4,250,944,694,25100,0.45368137501645833,False
D02_R02_P017,2,2,17,5,250,875,625,25100,0.7280417499714531,False
D02_R02_P018,2,2,18,1,0,25000,25000,100,4.111458332976326,True
D02_R02_P018,2,2,18,2,0,25000,25000,100,2.5523880409891717,True
D02_R02_P019,2,2,19,1,250,1289,1039,25100,0.5951382500352338,False
D02_R02_P019,2,2,19,2,0,25000,25000,100,1.4014294170192443,True
D02_R02_P020,2,2,20,1,250,506,256,25100,0.4129737920011394,False
D02_R02_P020,2,2,20,2,0,25000,25000,100,1.918498000013642,True
D02_R03_P001,2,3,1,1,250,388,138,25100,0.8298219169955701,False
D02_R03_P001,2,3,1,2,250,1099,849,25100,1.3067070000106469,False
D02_R03_P001,2,3,1,3,0,25000,25000,100,2.5011189169599675,True
D02_R03_P002,2,3,2,1,0,25000,25000,100,1.8892387910163961,True
D02_R03_P002,2,3,2,2,0,25000,25000,100,1.3628181669628248,True
D02_R03_P003,2,3,3,1,250,1821,1571,25100,0.7699453749810345,False
D02_R03_P003,2,3,3,2,250,1567,1317,25100,1.3871267920476384,False
D02_R03_P003,2,3,3,3,250,545,295,25100,0.8824439169839025,False
D02_R03_P004,2,3,4,1,250,841,591,25100,0.8806661250418983,False
D02_R03_P004,2,3,4,2,0,25000,25000,100,3.17898495902773,True
D02_R03_P005,2,3,5,1,250,1257,1007,25100,0.9017934170551598,False
D02_R03_P006,2,3,6,1,250,419,169,25100,0.6107165419962257,False
D02_R03_P006,2,3,6,2,250,2714,2464,25100,0.7724215000052936,False
D02_R03_P007,2,3,7,1,250,718,468,25100,1.1657084170146845,False
D02_R03_P007,2,3,7,2,250,391,141,25100,0.9006824159878306,False
D02_R03_P008,2,3,8,1,250,814,564,25100,1.6240769170108251,False
D02_R03_P008,2,3,8,2,250,387,137,25100,0.84622229100205,False
D02_R03_P008,2,3,8,3,250,378,128,25100,1.0736728750052862,False
D02_R03_P009,2,3,9,1,250,1140,890,25100,1.2213825000217184,False
D02_R03_P009,2,3,9,2,250,410,160,25100,0.8489774159970693,False
D02_R03_P009,2,3,9,3,250,601,351,25100,0.9229329169611447,False
D02_R03_P009,2,3,9,4,250,605,355,25100,0.8378520419937558,False
D02_R03_P009,2,3,9,5,0,25000,25000,100,3.2708162919734605,True
D02_R03_P009,2,3,9,6,0,25000,25000,100,1.910337375011295,True
D02_R03_P009,2,3,9,7,0,25000,25000,100,5.002063916996121,True
D02_R03_P009,2,3,9,8,0,25000,25000,100,2.508967667003162,True
D02_R03_P009,2,3,9,9,0,25000,25000,100,3.2417915830155835,True
D02_R03_P010,2,3,10,1,250,764,514,25100,1.4180814159917645,False
D02_R03_P010,2,3,10,2,250,1578,1328,25100,0.7442494999850169,False
D02_R03_P010,2,3,10,3,250,544,294,25100,0.9028702090145089,False
D02_R03_P010,2,3,10,4,250,730,480,25100,0.9667156250216067,False
D02_R03_P010,2,3,10,5,250,854,604,25100,0.6328389580012299,False
D02_R03_P010,2,3,10,6,0,25000,25000,100,2.550529624975752,True
D02_R03_P010,2,3,10,7,0,25000,25000,100,5.032643458980601,True
D02_R03_P012,2,3,12,1,250,2010,1760,25100,1.592540709010791,False
D02_R03_P012,2,3,12,2,250,757,507,25100,0.9724250830477104,False
D02_R03_P012,2,3,12,3,250,1001,751,25100,1.0626477909972891,False
D02_R03_P012,2,3,12,4,250,944,694,25100,0.64668562496081,False
D02_R03_P012,2,3,12,5,0,25000,25000,100,1.92340733401943,True
D02_R03_P013,2,3,13,1,250,2089,1839,25100,0.8340217499644496,False
D02_R03_P013,2,3,13,2,250,2042,1792,25100,0.9532676669768989,False
D02_R03_P014,2,3,14,1,250,2939,2689,25100,1.1228339590015821,False
D02_R03_P015,2,3,15,1,250,1537,1287,25100,1.117388458980713,False
D02_R03_P015,2,3,15,2,250,725,475,25100,0.7736741660046391,False
D02_R03_P015,2,3,15,3,0,25000,25000,100,1.9073420420172624,True
D02_R03_P016,2,3,16,1,250,1854,1604,25100,1.2057137079536915,False
D02_R03_P016,2,3,16,2,250,918,668,25100,0.8360788749996573,False
D02_R03_P017,2,3,17,1,250,926,676,25100,1.384012916998472,False
D02_R03_P017,2,3,17,2,250,1343,1093,25100,0.5964784580282867,False
