day,subset,metric,n,mean,median,positive,zero,negative
2,changed,delta_J,21,-0.48390920686201644,-0.2000000000000454,4,1,16
2,changed,delta_tardiness,21,0.16518825371184676,0.0,1,20,0
2,changed,delta_distance,21,-0.81428571428571,-0.2000000000000454,3,2,16
2,all,delta_J,60,-0.16936822240170576,0.0,4,40,16
2,all,delta_tardiness,60,0.05781588879914636,0.0,1,59,0
2,all,delta_distance,60,-0.2849999999999985,0.0,3,41,16
5,changed,delta_J,18,0.29055049076139183,0.25,9,0,9
5,changed,delta_tardiness,18,0.1869419120473531,0.0,2,15,1
5,changed,delta_distance,18,-0.08333333333331439,2.842170943040401e-14,9,0,9
5,all,delta_J,60,0.08716514722841756,0.0,9,42,9
5,all,delta_tardiness,60,0.05608257361420594,0.0,2,57,1
5,all,delta_distance,60,-0.024999999999994315,0.0,9,42,9
7,changed,delta_J,26,0.2818539569106648,-0.3000000000000682,5,1,20
7,changed,delta_tardiness,26,0.960157747686099,0.0,5,18,3
7,changed,delta_distance,26,-1.6384615384615329,-0.6500000000000625,2,1,23
7,all,delta_J,60,0.12213671466128809,0.0,5,35,20
7,all,delta_tardiness,60,0.41606835733064285,0.0,5,52,3
7,all,delta_distance,60,-0.7099999999999975,0.0,2,35,23
