run_id,day,replicate,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time,episodes,recourse_attempts,route_changes,evaluated_candidates,operator_decisions,null_proposals,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds
D02_R01_P001,2,1,1,8120001,b013e7a807f3f3f41356bacb8e72620ad8d446867d915ec782ecd1a41fad05fd,417.6000000000002,416.7000000000001,0.0,0.0,417.6000000000002,416.7000000000001,1.0,1.0,0.0,0.0,0.900000000000091,0.0,0.900000000000091,0.0,0.0,2,3,1,251,51098,50847,2,25400,14.510194333968684
D02_R01_P002,2,1,2,8120002,b5bfc43cf96dc1f1cab416d08e5e5397e8d0fb2953b98e67b2fb66e9a17a91aa,417.6000000000002,416.7000000000001,0.0,0.0,417.6000000000002,416.7000000000001,1.0,1.0,0.0,0.0,0.900000000000091,0.0,0.900000000000091,0.0,0.0,1,1,1,1,25000,24999,1,200,9.890837916987948
D02_R01_P003,2,1,3,8120003,e88ff630ec7361d9c824d608741efb10e3440591d36d91ac228097db550b6c65,417.6000000000002,417.90000000000015,0.0,0.0,417.6000000000002,417.90000000000015,1.0,1.0,0.0,0.0,-0.2999999999999545,0.0,-0.2999999999999545,0.0,0.0,3,3,1,750,4755,4005,0,75300,3.8389987089904025
D02_R01_P004,2,1,4,8120004,a86b7cda74612e6b34481d3362ce295870344403ab20b4af433edf987260a745,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,25000,25000,1,100,7.330981999984942
D02_R01_P005,2,1,5,8120005,5efb4d9a76f658ed49101958345934e1b00702248d13bd4123caaeea664b3756,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0006948329973965883
D02_R01_P006,2,1,6,8120006,71000c5bdaf83b50745e7d5449012b3ddfe0b32c63179b3a3ed10c8ca1e9e4b3,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,25000,25000,1,100,5.244918041978963
D02_R01_P007,2,1,7,8120007,332a56b84537d3673053f122d945590380655fa7443444cde1d44d0de7a47b36,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,251,25865,25614,1,25300,11.833847458008677
D02_R01_P008,2,1,8,8120008,6822322d1fe03cb6532e64fc4632a8b959cbdf5db7c45313088c8a65a5a9392f,417.6000000000002,416.7000000000001,0.0,0.0,417.6000000000002,416.7000000000001,1.0,1.0,0.0,0.0,0.900000000000091,0.0,0.900000000000091,0.0,0.0,3,2,1,251,25710,25459,1,25300,12.044282208022196
D02_R01_P009,2,1,9,8120009,c333a44c14147c13551765947e97afcbd6a88ed65a6e7cbcf06049f0ab16fa26,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,500,86690,86190,3,50500,19.76771958300378
D02_R01_P010,2,1,10,8120010,8eb0516fccccf9345cff7009dc67716ba61e4ca96b543d9fc4d81c2d37eadb21,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,750,91409,90659,3,75600,18.466797375003807
D02_R01_P011,2,1,11,8120011,b059eec811b126054a24425505c98919856e3b7ee1841e3a0c9c7e6961464445,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0005164169706404209
D02_R01_P012,2,1,12,8120012,efe5c2da9f201ded4bd14ca4cf3cf206dcd72d0f3c12d6aab2ca746f2688d1e8,417.6000000000002,418.90000000000015,0.0,0.0,417.6000000000002,418.90000000000015,1.0,1.0,0.0,0.0,-1.2999999999999545,0.0,-1.2999999999999545,0.0,0.0,2,3,1,500,34970,34470,1,50300,7.466482916963287
D02_R01_P013,2,1,13,8120013,324fece089e812b825f604da8acc6c3244e1b6ea6cd922dcbc251efc547b5dbd,417.6000000000002,419.10000000000014,0.0,0.0,417.6000000000002,419.10000000000014,1.0,1.0,0.0,0.0,-1.4999999999999432,0.0,-1.4999999999999432,0.0,0.0,1,2,2,500,4117,3617,0,50200,3.1033319160342216
